Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.
04-125822,Hennepin,Minneapolis,22nd St E,25th Av S,2004/05/25,1845,Bicycle,Non-Incap. Injury (B),
04-126085,Hennepin,Minneapolis,6th St S,Cedar Av S,2004/05/26,29,Bicycle,Incap. Injury (A),
04-126574,Hennepin,Minneapolis,Groveland Av W,Nicollet Av S,2004/05/26,1635,Bicycle,Possible Injury (C),
04-126795,Hennepin,Minneapolis,2nd St SE,7th Av SE,2004/05/26,2005,Bicycle,Possible Injury (C),
04-127201,Hennepin,Minneapolis,6th St S,Hennepin Av S,2004/05/27,925,Bicycle,Non-Incap. Injury (B),
04-127262,Hennepin,Minneapolis,28th St W,Blaisdell Av S,2004/05/27,815,Bicycle,Possible Injury (C),
04-127297,Hennepin,Minneapolis,3rd Av N,East Lyndale Av N,2004/05/27,1144,Bicycle,Non-Incap. Injury (B),
04-129568,Hennepin,Minneapolis,I-35W NB Ramp,Washington Av S,2004/05/29,1632,Bicycle,Property Damage Only,
04-130405,Hennepin,Minneapolis,Lake St W,Pleasant Av S,2004/05/30,1750,Bicycle,Possible Injury (C),
04-131185,Hennepin,Minneapolis,26th Av N,Colfax Av N,2004/05/31,1715,Bicycle,Possible Injury (C),
04-134276,Hennepin,Minneapolis,13th Av S,Franklin Av E,2004/06/03,1904,Bicycle,Possible Injury (C),
04-135500,Hennepin,Minneapolis,25th St E,Chicago Av S,2004/06/04,2300,Bicycle,Non-Incap. Injury (B),
04-136151,Hennepin,Minneapolis,West Lake of the Isles Pkwy S,Penn Av S,2004/06/05,1613,Bicycle,Incap. Injury (A),
04-137084,Hennepin,Minneapolis,37th Av NE,Tyler St NE,2004/06/06,1355,Bicycle,Non-Incap. Injury (B),
04-137296,Hennepin,Minneapolis,14th Av N,Morgan Av N,2004/06/06,1930,Bicycle,Property Damage Only,
04-138095,Hennepin,Minneapolis,26th St W,Hennepin Av S,2004/06/07,1531,Bicycle,Property Damage Only,
04-138337,Hennepin,Minneapolis,3rd St N,24th Av N,2004/06/07,2026,Bicycle,Possible Injury (C),
04-138777,Hennepin,Minneapolis,8th St S,Hennepin Av S,2004/06/08,900,Bicycle,Non-Incap. Injury (B),
04-139239,Hennepin,Minneapolis,5th Av S,28th St E,2004/06/08,1732,Bicycle,Possible Injury (C),
04-139631,Hennepin,Minneapolis,Humboldt Av S,Lagoon Av W,2004/06/09,57,Bicycle,Non-Incap. Injury (B),
04-140466,Hennepin,Minneapolis,2nd St S,19th Av S,2004/06/09,2240,Bicycle,Possible Injury (C),
04-142172,Hennepin,Minneapolis,34th St E,Minnehaha Av S,2004/06/11,1704,Bicycle,Possible Injury (C),
04-142958,Hennepin,Minneapolis,38th St E,Bloomington Av S,2004/06/12,1207,Bicycle,Possible Injury (C),
04-143364,Hennepin,Minneapolis,36th St W,Girard Av S,2004/06/12,2045,Bicycle,Non-Incap. Injury (B),
04-143582,Hennepin,Minneapolis,Hennepin Av S,Vineland Place W,2004/06/13,10,Bicycle,Non-Incap. Injury (B),
04-144174,Hennepin,Minneapolis,54th St E,Portland Av S,2004/06/13,0,Bicycle,Possible Injury (C),
04-145144,Hennepin,Minneapolis,29th St W,Aldrich Av S,2004/06/14,1640,Bicycle,Non-Incap. Injury (B),
04-145157,Hennepin,Minneapolis,61st St W,Nicollet Av S,2004/06/14,1654,Bicycle,Non-Incap. Injury (B),
04-145928,Hennepin,Minneapolis,Cedar Lake Road S,Oliver Av S,2004/06/15,1120,Bicycle,Possible Injury (C),
04-146247,Hennepin,Minneapolis,26th Av S,28th St E,2004/06/15,1813,Bicycle,Non-Incap. Injury (B),
04-146727,Hennepin,Minneapolis,Groveland Terrace W,Hennepin Av S,2004/06/16,128,Bicycle,Non-Incap. Injury (B),
04-147005,Hennepin,Minneapolis,19th Av S,Riverside Av S,2004/06/16,1230,Bicycle,Property Damage Only,
04-147317,Hennepin,Minneapolis,2nd Av S,35th St E,2004/06/16,1650,Bicycle,Property Damage Only,
04-147343,Hennepin,Minneapolis,Morgan Av N,Plymouth Av N,2004/06/16,1717,Bicycle,Non-Incap. Injury (B),
04-147359,Hennepin,Minneapolis,27th St W,Hennepin Av S,2004/06/16,1730,Bicycle,Possible Injury (C),
04-148432,Hennepin,Minneapolis,35th St E,Portland Av S,2004/06/17,0,Bicycle,Possible Injury (C),
04-148497,Hennepin,Minneapolis,Broadway St NE,New Brighton Blvd NE,2004/06/17,1830,Bicycle,Non-Incap. Injury (B),
04-148863,Hennepin,Minneapolis,27th Av N,Oliver Av N,2004/06/17,2354,Bicycle,Non-Incap. Injury (B),
04-149403,Hennepin,Minneapolis,West Broadway Av N,Washington Av N,2004/06/18,1455,Bicycle,Possible Injury (C),
04-149545,Hennepin,Minneapolis,17th Av S,31st St E,2004/06/18,1751,Bicycle,Possible Injury (C),
04-150258,Hennepin,Minneapolis,Church St SE,Washington Av SE,2004/06/19,1105,Bicycle,Possible Injury (C),
04-151083,Hennepin,Minneapolis,2nd Av S,4th St S,2004/06/20,305,Bicycle,Non-Incap. Injury (B),
04-152388,Hennepin,Minneapolis,37th Av NE,Central Av NE,2004/06/21,1751,Bicycle,Non-Incap. Injury (B),
04-153168,Hennepin,Minneapolis,43rd St W,East Lake Harriet Pkwy S,2004/06/22,1335,Bicycle,Property Damage Only,
04-154570,Hennepin,Minneapolis,4th Av S,15th St E,2004/06/23,1900,Bicycle,Property Damage Only,
04-154643,Hennepin,Minneapolis,8th Av NE,University Av NE,2004/06/23,1956,Bicycle,Possible Injury (C),
04-154686,Hennepin,Minneapolis,Lowry Av N,Penn Av N,2004/06/23,2040,Bicycle,Possible Injury (C),
04-154754,Hennepin,Minneapolis,Huron Blvd SE,University Av SE,2004/06/23,1247,Bicycle,Possible Injury (C),
04-154886,Hennepin,Minneapolis,3rd Av S,Franklin Av E,2004/06/24,100,Bicycle,Possible Injury (C),
04-155058,Hennepin,Minneapolis,12th St N,Glenwood Av N,2004/06/24,705,Bicycle,Non-Incap. Injury (B),
04-156157,Hennepin,Minneapolis,29th St W,Dupont Av S,2004/06/25,900,Bicycle,Possible Injury (C),
04-156641,Hennepin,Minneapolis,Hennepin Av S,Maple St S,2004/06/25,1903,Bicycle,Property Damage Only,
04-157318,Hennepin,Minneapolis,35th Av NE,Fillmore St NE,2004/06/26,1010,Bicycle,Possible Injury (C),
04-159130,Hennepin,Minneapolis,Emerson Av N,Lowry Av N,2004/06/28,815,Bicycle,Possible Injury (C),
04-159519,Hennepin,Minneapolis,Stinson Blvd NE,Summer St NE,2004/06/28,1613,Bicycle,Non-Incap. Injury (B),
04-159727,Hennepin,Minneapolis,Chicago Av S,Franklin Av E,2004/06/28,2009,Bicycle,Property Damage Only,
04-160287,Hennepin,Minneapolis,Golden Valley Road N,Upton Av N,2004/06/29,1900,Bicycle,Possible Injury (C),
04-160571,Hennepin,Minneapolis,7th St NE,Lowry Av NE,2004/06/29,1432,Bicycle,Possible Injury (C),
04-160684,Hennepin,Minneapolis,2nd Av S,10th St S,2004/06/29,1645,Bicycle,Incap. Injury (A),
04-160782,Hennepin,Minneapolis,1st Av NE,5th St NE,2004/06/29,1810,Bicycle,Possible Injury (C),
04-161434,Hennepin,Minneapolis,1st St S,Hennepin Av S,2004/06/30,920,Bicycle,Non-Incap. Injury (B),
04-161845,Hennepin,Minneapolis,27th St W,Nicollet Av S,2004/06/30,1632,Bicycle,Non-Incap. Injury (B),
04-162860,Hennepin,Minneapolis,32nd St E,Cedar Av S,2004/07/01,1530,Bicycle,Non-Incap. Injury (B),
04-166328,Hennepin,Minneapolis,46th St E,Hiawatha Av S,2004/07/04,2051,Bicycle,Non-Incap. Injury (B),
04-167828,Hennepin,Minneapolis,Lake St E,Park Av S,2004/07/06,1336,Bicycle,Incap. Injury (A),
04-169489,Hennepin,Minneapolis,5th St SE,Central Av SE,2004/07/08,718,Bicycle,Property Damage Only,
04-169829,Hennepin,Minneapolis,9th St S,Marquette Av S,2004/07/08,1527,Bicycle,Possible Injury (C),
04-170128,Hennepin,Minneapolis,34th Av N,Girard Av N,2004/07/08,2031,Bicycle,Non-Incap. Injury (B),
04-170798,Hennepin,Minneapolis,14th Av S,26th St E,2004/07/09,1240,Bicycle,Incap. Injury (A),
04-171216,Hennepin,Minneapolis,Aldrich Av S,Lake St W,2004/07/09,2001,Bicycle,Incap. Injury (A),
04-172057,Hennepin,Minneapolis,Knox Av N,Lowry Av N,2004/07/10,1400,Bicycle,Possible Injury (C),
04-172379,Hennepin,Minneapolis,1st Av NE,Main St NE,2004/07/10,2030,Bicycle,Possible Injury (C),
04-172459,Hennepin,Minneapolis,27th St E,Portland Av S,2004/07/10,2155,Bicycle,Property Damage Only,
04-173809,Hennepin,Minneapolis,31st Av S,Lake St E,2004/07/12,1250,Bicycle,Possible Injury (C),
04-175146,Hennepin,Minneapolis,2nd Av S,40th St E,2004/07/13,1713,Bicycle,Possible Injury (C),
04-175172,Hennepin,Minneapolis,5th St S,Nicollet Mall S,2004/07/13,1743,Bicycle,Possible Injury (C),
04-175187,Hennepin,Minneapolis,West Broadway Av N,West River Road N,2004/07/13,1750,Bicycle,Possible Injury (C),
04-175227,Hennepin,Minneapolis,48th St W,Humboldt Av S,2004/07/13,1840,Bicycle,Possible Injury (C),
04-175247,Hennepin,Minneapolis,3rd St S,Hennepin Av S,2004/07/13,1905,Bicycle,Non-Incap. Injury (B),
04-175276,Hennepin,Minneapolis,Golden Valley Road N,Penn Av N,2004/07/13,1936,Bicycle,Possible Injury (C),
04-175848,Hennepin,Minneapolis,3rd Av S,Washington Av S,2004/07/14,900,Bicycle,Possible Injury (C),
04-176546,Hennepin,Minneapolis,Chicago Av S,Minnehaha Pkwy E,2004/07/14,2043,Bicycle,Possible Injury (C),
04-177341,Hennepin,Minneapolis,28th St W,Lyndale Av S,2004/07/15,800,Bicycle,Non-Incap. Injury (B),
04-177387,Hennepin,Minneapolis,28th St E,Park Av S,2004/07/15,1521,Bicycle,Possible Injury (C),
04-177423,Hennepin,Minneapolis,1st Av N,4th St N,2004/07/15,1738,Bicycle,Non-Incap. Injury (B),
04-178706,Hennepin,Minneapolis,46th St W,East Lake Harriet Pkwy S,2004/07/16,1940,Bicycle,Possible Injury (C),
04-178977,Hennepin,Minneapolis,11th Av S,14th St E,2004/07/16,2230,Bicycle,Non-Incap. Injury (B),
04-179564,Hennepin,Minneapolis,17th Av S,35th St E,2004/07/17,1500,Bicycle,Non-Incap. Injury (B),
04-180185,Hennepin,Minneapolis,13th Av S,Lake St E,2004/07/18,40,Bicycle,Incap. Injury (A),
04-180696,Hennepin,Minneapolis,16th Av S,37th St E,2004/07/18,1450,Bicycle,Non-Incap. Injury (B),
04-182267,Hennepin,Minneapolis,2nd St N,3rd Av N,2004/07/20,752,Bicycle,Non-Incap. Injury (B),
04-182419,Hennepin,Minneapolis,Franklin Av E,Portland Av S,2004/07/20,1130,Bicycle,Non-Incap. Injury (B),
04-182963,Hennepin,Minneapolis,12th Av N,Oliver Av N,2004/07/20,2235,Bicycle,Property Damage Only,
04-183619,Hennepin,Minneapolis,22nd St W,Hennepin Av S,2004/07/21,1414,Bicycle,Non-Incap. Injury (B),
04-183805,Hennepin,Minneapolis,5th Av S,26th St E,2004/07/21,1700,Bicycle,Possible Injury (C),
04-183905,Hennepin,Minneapolis,2nd Av N,Queen Av N,2004/07/21,1955,Bicycle,Possible Injury (C),
04-184465,Hennepin,Minneapolis,54th St W,Fremont Av S,2004/07/22,844,Bicycle,Incap. Injury (A),
04-187142,Hennepin,Minneapolis,3rd St N,27th Av N,2004/07/24,1800,Bicycle,Possible Injury (C),
04-188932,Hennepin,Minneapolis,15th Av S,24th St E,2004/07/26,1425,Bicycle,Possible Injury (C),
04-189009,Hennepin,Minneapolis,31st St E,Portland Av S,2004/07/26,1549,Bicycle,Non-Incap. Injury (B),
04-189094,Hennepin,Minneapolis,31st St W,Garfield Av S,2004/07/26,1720,Bicycle,Non-Incap. Injury (B),
04-189220,Hennepin,Minneapolis,33rd St W,Lyndale Av S,2004/07/26,1918,Bicycle,Possible Injury (C),
04-191042,Hennepin,Minneapolis,18th Av NE,Central Av NE,2004/07/28,1108,Bicycle,Possible Injury (C),
04-191230,Hennepin,Minneapolis,46th St E,Snelling Av S,2004/07/28,1435,Bicycle,Non-Incap. Injury (B),
04-191358,Hennepin,Minneapolis,3rd Av S,10th St S,2004/07/28,1515,Bicycle,Non-Incap. Injury (B),
04-192207,Hennepin,Minneapolis,28th St W,Aldrich Av S,2004/07/28,2230,Bicycle,Non-Incap. Injury (B),
04-192369,Hennepin,Minneapolis,Cedar Av S,Edgewater Blvd E,2004/07/29,1718,Bicycle,Property Damage Only,
04-192489,Hennepin,Minneapolis,38th St E,Oakland Av S,2004/07/29,1925,Bicycle,Property Damage Only,
04-192588,Hennepin,Minneapolis,Hennepin Av S,Lagoon Av W,2004/07/29,2100,Bicycle,Possible Injury (C),
04-194249,Hennepin,Minneapolis,46th St E,Minnehaha Av S,2004/07/31,1033,Bicycle,Non-Incap. Injury (B),
04-196288,Hennepin,Minneapolis,Godfrey Pkwy E,Minnehaha Av S,2004/08/02,1250,Bicycle,Possible Injury (C),
04-196660,Hennepin,Minneapolis,3rd Av S,11th St S,2004/08/02,2007,Bicycle,Possible Injury (C),
04-197278,Hennepin,Minneapolis,24th Av S,57th St E,2004/08/03,1210,Bicycle,Non-Incap. Injury (B),
04-199145,Hennepin,Minneapolis,Cedar Av S,MN-55 WB Ramp,2004/08/05,0,Bicycle,Non-Incap. Injury (B),
04-199245,Hennepin,Minneapolis,1st Av N,7th St N,2004/08/05,645,Bicycle,Non-Incap. Injury (B),
04-199409,Hennepin,Minneapolis,34th Av S,56th St E,2004/08/05,1115,Bicycle,Non-Incap. Injury (B),
04-199706,Hennepin,Minneapolis,27th St E,Cedar Av S,2004/08/05,1630,Bicycle,Possible Injury (C),
04-200631,Hennepin,Minneapolis,30th Av NE,Central Av NE,2004/08/06,1312,Bicycle,Non-Incap. Injury (B),
04-200856,Hennepin,Minneapolis,42nd St W,West Lake Harriet Pkwy S,2004/08/06,1650,Bicycle,Non-Incap. Injury (B),
04-200992,Hennepin,Minneapolis,29th Av NE,Polk St NE,2004/08/06,1913,Bicycle,Possible Injury (C),
04-201936,Hennepin,Minneapolis,28th Av S,Lake St E,2004/08/07,1617,Bicycle,Non-Incap. Injury (B),
04-202210,Hennepin,Minneapolis,9th Av NE,Marshall St NE,2004/08/07,2110,Bicycle,Non-Incap. Injury (B),
04-204843,Hennepin,Minneapolis,Lake St E,Snelling Av S,2004/08/10,1609,Bicycle,Possible Injury (C),
04-205722,Hennepin,Minneapolis,18th Av NE,Monroe St NE,2004/08/11,1320,Bicycle,Property Damage Only,
04-206541,Hennepin,Minneapolis,1st St N,2nd Av N,2004/08/12,747,Bicycle,Possible Injury (C),
04-206802,Hennepin,Minneapolis,6th St N,22nd Av N,2004/08/12,1351,Bicycle,Property Damage Only,
04-207988,Hennepin,Minneapolis,Dupont Av N,Lowry Av N,2004/08/13,1630,Bicycle,Possible Injury (C),
04-208273,Hennepin,Minneapolis,31st St W,Blaisdell Av S,2004/08/13,2019,Bicycle,Non-Incap. Injury (B),
04-209140,Hennepin,Minneapolis,2nd Av S,7th St S,2004/08/14,1615,Bicycle,Non-Incap. Injury (B),
04-210017,Hennepin,Minneapolis,Dupont Av S,Franklin Av W,2004/08/15,1053,Bicycle,Possible Injury (C),
04-211057,Hennepin,Minneapolis,Grant St W,LaSalle Av S,2004/08/16,1650,Bicycle,Property Damage Only,
04-213187,Hennepin,Minneapolis,Fremont Av N,Lowry Av N,2004/08/18,1400,Bicycle,Property Damage Only,
04-213439,Hennepin,Minneapolis,44th St W,Xerxes Av S,2004/08/18,1800,Bicycle,Possible Injury (C),
04-213990,Hennepin,Minneapolis,Franklin Av W,Nicollet Av S,2004/08/19,708,Bicycle,Non-Incap. Injury (B),
04-214813,Hennepin,Minneapolis,24th Av NE,Central Av NE,2004/08/19,1158,Bicycle,Property Damage Only,
04-215361,Hennepin,Minneapolis,19th St E,Clinton Av S,2004/08/20,1444,Bicycle,Possible Injury (C),
04-215636,Hennepin,Minneapolis,Cedar Av S,EM Stately St E,2004/08/20,1930,Bicycle,Possible Injury (C),
04-216553,Hennepin,Minneapolis,50th St E,Minnehaha Pkwy E,2004/08/21,1705,Bicycle,Non-Incap. Injury (B),
04-219144,Hennepin,Minneapolis,23rd Av SE,Intercampus Transitway SE,2004/08/24,910,Bicycle,Non-Incap. Injury (B),
04-221210,Hennepin,Minneapolis,4th St S,Hennepin Av S,2004/08/25,2243,Bicycle,Non-Incap. Injury (B),
04-221804,Hennepin,Minneapolis,10th Av S,38th St E,2004/08/26,1615,Bicycle,Possible Injury (C),
04-223754,Hennepin,Minneapolis,29th Av N,Penn Av N,2004/08/28,1145,Bicycle,Possible Injury (C),
04-223785,Hennepin,Minneapolis,38th St E,Columbus Av S,2004/08/28,1145,Bicycle,Non-Incap. Injury (B),
04-225888,Hennepin,Minneapolis,39th St E,Elliot Av S,2004/08/30,1516,Bicycle,Possible Injury (C),
04-226908,Hennepin,Minneapolis,10th Av S,26th St E,2004/08/31,1415,Bicycle,Non-Incap. Injury (B),
04-227961,Hennepin,Minneapolis,26th St E,Portland Av S,2004/09/01,1300,Bicycle,Possible Injury (C),
04-229525,Hennepin,Minneapolis,3rd Av N,5th St N,2004/09/02,1830,Bicycle,Non-Incap. Injury (B),
04-234575,Hennepin,Minneapolis,Willow St S,Yale Place S,2004/09/07,1615,Bicycle,Non-Incap. Injury (B),
04-234616,Hennepin,Minneapolis,50th St W,Upton Av S,2004/09/07,1630,Bicycle,Possible Injury (C),
04-235099,Hennepin,Minneapolis,31st St E,Portland Av S,2004/09/08,33,Bicycle,Non-Incap. Injury (B),
04-235419,Hennepin,Minneapolis,4th St SE,13th Av SE,2004/09/08,1210,Bicycle,Possible Injury (C),
04-236288,Hennepin,Minneapolis,7th St S,Portland Av S,2004/09/09,850,Bicycle,Non-Incap. Injury (B),
04-236353,Hennepin,Minneapolis,38th St E,Elliot Av S,2004/09/09,1021,Bicycle,Non-Incap. Injury (B),
04-236611,Hennepin,Minneapolis,47th St W,Xerxes Av S,2004/09/09,1510,Bicycle,Possible Injury (C),
04-237564,Hennepin,Minneapolis,8th St S,Park Av S,2004/09/10,1130,Bicycle,Property Damage Only,
04-237768,Hennepin,Minneapolis,18th Av S,26th St E,2004/09/10,1608,Bicycle,Possible Injury (C),
04-239583,Hennepin,Minneapolis,3rd Av N,Washington Av N,2004/09/11,2300,Bicycle,Non-Incap. Injury (B),
04-239599,Hennepin,Minneapolis,35th St W,Lyndale Av S,2004/09/11,2324,Bicycle,Non-Incap. Injury (B),
04-240142,Hennepin,Minneapolis,37th Av N,Logan Av N,2004/09/12,1205,Bicycle,Possible Injury (C),
04-240325,Hennepin,Minneapolis,48th St E,Chicago Av S,2004/09/12,1625,Bicycle,Non-Incap. Injury (B),
04-241270,Hennepin,Minneapolis,18th Av NE,Polk St NE,2004/09/13,1530,Bicycle,Possible Injury (C),
04-241291,Hennepin,Minneapolis,16th Av N,Russell Av N,2004/09/13,1603,Bicycle,Incap. Injury (A),
04-242327,Hennepin,Minneapolis,21st Av S,Franklin Av E,2004/09/14,1545,Bicycle,Possible Injury (C),
04-243548,Hennepin,Minneapolis,26th Av S,28th St E,2004/09/15,2107,Bicycle,Incap. Injury (A),
04-244618,Hennepin,Minneapolis,33rd St E,Cedar Av S,2004/09/16,2159,Bicycle,Possible Injury (C),
04-250148,Hennepin,Minneapolis,Franklin Av W,Nicollet Av S,2004/09/22,715,Bicycle,Non-Incap. Injury (B),
04-250285,Hennepin,Minneapolis,5th Av S,24th St E,2004/09/22,1040,Bicycle,Non-Incap. Injury (B),
04-250613,Hennepin,Minneapolis,Harriet Av S,Lake St W,2004/09/22,1655,Bicycle,Non-Incap. Injury (B),
04-251611,Hennepin,Minneapolis,4th Av S,4th St S,2004/09/23,1500,Bicycle,Non-Incap. Injury (B),
04-251659,Hennepin,Minneapolis,2nd Av S,46th St E,2004/09/23,1600,Bicycle,Possible Injury (C),
04-253360,Hennepin,Minneapolis,31st St E,Portland Av S,2004/09/25,15,Bicycle,Possible Injury (C),
04-253918,Hennepin,Minneapolis,1st Av N,8th St N,2004/09/25,1655,Bicycle,Possible Injury (C),
04-256926,Hennepin,Minneapolis,33rd St W,Bryant Av S,2004/09/28,1848,Bicycle,Possible Injury (C),
04-258315,Hennepin,Minneapolis,31st St E,Park Av S,2004/09/30,757,Bicycle,Possible Injury (C),
04-258673,Hennepin,Minneapolis,Hennepin Av S,15th St W,2004/09/30,1535,Bicycle,Non-Incap. Injury (B),
04-258759,Hennepin,Minneapolis,17th St E,Portland Av S,2004/09/30,1705,Bicycle,Possible Injury (C),
04-259848,Hennepin,Minneapolis,13th Av S,Lake St E,2004/10/01,1810,Bicycle,Property Damage Only,
04-260756,Hennepin,Minneapolis,23rd Av N,Queen Av N,2004/10/02,1640,Bicycle,Incap. Injury (A),
04-260882,Hennepin,Minneapolis,26th St E,Hiawatha Av S,2004/10/02,1900,Bicycle,Possible Injury (C),
04-261656,Hennepin,Minneapolis,Clinton Av S,Franklin Av E,2004/10/03,1545,Bicycle,Possible Injury (C),
04-262141,Hennepin,Minneapolis,17th Av S,Franklin Av E,2004/10/04,825,Bicycle,Possible Injury (C),
04-263172,Hennepin,Minneapolis,4th St SE,13th Av SE,2004/10/05,1012,Bicycle,Possible Injury (C),
04-264425,Hennepin,Minneapolis,Franklin Av E,West River Pkwy S,2004/10/06,1720,Bicycle,Possible Injury (C),
04-265290,Hennepin,Minneapolis,37th Av S,Lake St E,2004/10/07,1620,Bicycle,Possible Injury (C),
04-269360,Hennepin,Minneapolis,38th St E,Cedar Av S,2004/10/11,1630,Bicycle,Possible Injury (C),
04-269401,Hennepin,Minneapolis,1st Av S,28th St E,2004/10/11,1810,Bicycle,Non-Incap. Injury (B),
04-270229,Hennepin,Minneapolis,19th Av NE,Central Av NE,2004/10/12,1630,Bicycle,Possible Injury (C),
04-270954,Hennepin,Minneapolis,16th St E,Chicago Av S,2004/10/13,0,Bicycle,Possible Injury (C),
04-272072,Hennepin,Minneapolis,7th Av SE,University Av SE,2004/10/14,1525,Bicycle,Possible Injury (C),
04-272727,Hennepin,Minneapolis,West Broadway Av N,Newton Av N,2004/10/15,848,Bicycle,Non-Incap. Injury (B),
04-273166,Hennepin,Minneapolis,26th Av N,Irving Av N,2004/10/15,1900,Bicycle,Possible Injury (C),
04-273185,Hennepin,Minneapolis,19th Av NE,Jackson St NE,2004/10/15,1930,Bicycle,Non-Incap. Injury (B),
04-275917,Hennepin,Minneapolis,Bryant Av S,Lake St W,2004/10/19,849,Bicycle,Possible Injury (C),
04-276313,Hennepin,Minneapolis,25th St W,Hennepin Av S,2004/10/19,1717,Bicycle,Property Damage Only,
04-277072,Hennepin,Minneapolis,3rd Av S,17th St E,2004/10/20,1137,Bicycle,Non-Incap. Injury (B),
04-278326,Hennepin,Minneapolis,3rd Av S,Franklin Av E,2004/10/21,1840,Bicycle,Incap. Injury (A),
04-278891,Hennepin,Minneapolis,Saint Mary's Av SE,University Av SE,2004/10/22,1000,Bicycle,Non-Incap. Injury (B),
04-279331,Hennepin,Minneapolis,Chicago Av S,Franklin Av E,2004/10/22,1820,Bicycle,Possible Injury (C),
04-279492,Hennepin,Minneapolis,Hennepin Av S,Washington Av S,2004/10/22,2140,Bicycle,Possible Injury (C),
04-282103,Hennepin,Minneapolis,25th St W,Hennepin Av S,2004/10/25,1612,Bicycle,Possible Injury (C),
04-282239,Hennepin,Minneapolis,16th Av S,18th St E,2004/10/25,1830,Bicycle,Non-Incap. Injury (B),
04-284177,Hennepin,Minneapolis,11th Av S,15th St E,2004/10/27,2120,Bicycle,Possible Injury (C),
04-285970,Hennepin,Minneapolis,14th Av N,Girard Av N,2004/10/29,1950,Bicycle,Property Damage Only,
04-290302,Hennepin,Minneapolis,Lake St E,Minnehaha Av S,2004/11/03,804,Bicycle,Non-Incap. Injury (B),
04-291312,Hennepin,Minneapolis,1st Av N,Washington Av N,2004/11/04,945,Bicycle,Non-Incap. Injury (B),
04-292297,Hennepin,Minneapolis,Cedar Av S,Franklin Av E,2004/11/05,1039,Bicycle,Possible Injury (C),
04-295165,Hennepin,Minneapolis,11th Av S,15th St E,2004/11/08,1741,Bicycle,Possible Injury (C),
04-295617,Hennepin,Minneapolis,5th Av S,Washington Av S,2004/11/09,842,Bicycle,Possible Injury (C),
04-298470,Hennepin,Minneapolis,1st Av N,6th St N,2004/11/12,1130,Bicycle,Property Damage Only,
04-298632,Hennepin,Minneapolis,24th Av S,Franklin Av E,2004/11/12,1519,Bicycle,Incap. Injury (A),
04-304373,Hennepin,Minneapolis,26th Av NE,Central Av NE,2004/11/18,1807,Bicycle,Possible Injury (C),
04-305469,Hennepin,Minneapolis,Cedar Av S,Franklin Av E,2004/11/19,2325,Bicycle,Possible Injury (C),
04-308633,Hennepin,Minneapolis,2nd Av S,Lake St E,2004/11/23,1600,Bicycle,Possible Injury (C),
04-315429,Hennepin,Minneapolis,7th St SE,14th Av SE,2004/12/01,1950,Bicycle,Possible Injury (C),
04-319254,Hennepin,Minneapolis,6th St S,Marquette Av S,2004/12/05,1840,Bicycle,Non-Incap. Injury (B),
04-320929,Hennepin,Minneapolis,Hennepin Av E,Stinson Blvd NE,2004/12/07,1603,Bicycle,Possible Injury (C),
04-322998,Hennepin,Minneapolis,7th St S,Marquette Av S,2004/12/09,1530,Bicycle,Possible Injury (C),
04-324994,Hennepin,Minneapolis,25th St W,Lyndale Av S,2004/12/11,1330,Bicycle,Possible Injury (C),
04-328206,Hennepin,Minneapolis,Franklin Av E,Minnehaha Av S,2004/12/15,653,Bicycle,Possible Injury (C),
04-328750,Hennepin,Minneapolis,24th St W,Colfax Av S,2004/12/15,1947,Bicycle,Non-Incap. Injury (B),
04-329261,Hennepin,Minneapolis,Humboldt Av S,Lake St W,2004/12/16,1008,Bicycle,Possible Injury (C),
04-330455,Hennepin,Minneapolis,31st St W,Garfield Av S,2004/12/17,1650,Bicycle,Possible Injury (C),
04-330464,Hennepin,Minneapolis,4th Av S,28th St E,2004/12/17,1659,Bicycle,Non-Incap. Injury (B),
04-338598,Hennepin,Minneapolis,22nd Av NE,University Av NE,2004/12/28,1950,Bicycle,Incap. Injury (A),
05-007783,Hennepin,Minneapolis,Willow St S,Yale Place S,2005/01/10,1615,Bicycle,Non-Incap. Injury (B),
05-019407,Hennepin,Minneapolis,29th St W,Colfax Av S,2005/01/25,1835,Bicycle,Possible Injury (C),
05-024952,Hennepin,Minneapolis,Penn Av S,I-394 EB Ramp,2005/02/01,1209,Bicycle,Possible Injury (C),
05-027113,Hennepin,Minneapolis,Fulton St SE,East River Pkwy SE,2005/02/03,1620,Bicycle,Possible Injury (C),
05-030880,Hennepin,Minneapolis,West Broadway Av N,James Av N,2005/02/07,1529,Bicycle,Possible Injury (C),
05-033680,Hennepin,Minneapolis,Lake St W,Nicollet Av S,2005/02/10,1410,Bicycle,Possible Injury (C),
05-034771,Hennepin,Minneapolis,Broadway St NE,University Av NE,2005/02/11,1749,Bicycle,Non-Incap. Injury (B),
05-036506,Hennepin,Minneapolis,26th St W,Lyndale Av S,2005/02/12,2000,Bicycle,Non-Incap. Injury (B),
05-038397,Hennepin,Minneapolis,34th Av S,50th St E,2005/02/15,1810,Bicycle,Property Damage Only,
05-039206,Hennepin,Minneapolis,24th St W,Hennepin Av S,2005/02/16,1500,Bicycle,Possible Injury (C),
05-041268,Hennepin,Minneapolis,26th St E,Minnehaha Av S,2005/02/18,1805,Bicycle,Non-Incap. Injury (B),
