Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.
00-139498,Hennepin,Minneapolis,3rd St S,Hennepin Av S,2000/05/12,2135,Bicycle,Possible Injury (C),
00-140215,Hennepin,Minneapolis,1st Av S,24th St E,2000/05/13,1456,Bicycle,Possible Injury (C),
00-141548,Hennepin,Minneapolis,26th St E,Park Av S,2000/05/14,2035,Bicycle,Possible Injury (C),
00-145365,Hennepin,Minneapolis,10th St S,Marquette Av S,2000/05/18,1415,Bicycle,Possible Injury (C),
00-146258,Hennepin,Minneapolis,Lincoln St NE,Saint Anthony Pkwy NE,2000/05/19,930,Bicycle,Possible Injury (C),
00-146633,Hennepin,Minneapolis,Columbia Av NE,Saint Anthony Pkwy NE,2000/05/19,1625,Bicycle,Possible Injury (C),
00-146681,Hennepin,Minneapolis,37th St E,Bloomington Av S,2000/05/19,1655,Bicycle,Possible Injury (C),
00-147590,Hennepin,Minneapolis,New Brighton Blvd NE,Stinson Blvd NE,2000/05/20,1030,Bicycle,Possible Injury (C),
00-148017,Hennepin,Minneapolis,5th Av S,32nd St E,2000/05/20,1845,Bicycle,Possible Injury (C),
00-149863,Hennepin,Minneapolis,49th Av N,Newton Av N,2000/05/22,911,Bicycle,Property Damage Only,
00-150315,Hennepin,Minneapolis,Portland Av S,West River Pkwy S,2000/05/22,1745,Bicycle,Possible Injury (C),
00-151041,Hennepin,Minneapolis,16th Av SE,Como Av SE,2000/05/23,1010,Bicycle,Possible Injury (C),
00-152462,Hennepin,Minneapolis,56th St E,Chicago Av S,2000/05/24,1400,Bicycle,Possible Injury (C),
00-153882,Hennepin,Minneapolis,2nd Av S,35th St E,2000/05/25,1830,Bicycle,Possible Injury (C),
00-154889,Hennepin,Minneapolis,43rd St W,Xerxes Av S,2000/05/26,1506,Bicycle,Possible Injury (C),
00-154935,Hennepin,Minneapolis,4th Av S,28th St E,2000/05/26,1600,Bicycle,Possible Injury (C),
00-154976,Hennepin,Minneapolis,West Broadway Av N,Knox Av N,2000/05/26,1637,Bicycle,Possible Injury (C),
00-155101,Hennepin,Minneapolis,5th Av SE,University Av SE,2000/05/26,1815,Bicycle,Property Damage Only,
00-158696,Hennepin,Minneapolis,11th Av S,Franklin Av E,2000/05/30,655,Bicycle,Property Damage Only,
00-159920,Hennepin,Minneapolis,5th St S,Park Av S,2000/05/31,810,Bicycle,Possible Injury (C),
00-160265,Hennepin,Minneapolis,26th St E,Bloomington Av S,2000/05/31,1535,Bicycle,Possible Injury (C),
00-162618,Hennepin,Minneapolis,7th St S,Hennepin Av S,2000/06/02,1455,Bicycle,Possible Injury (C),
00-164106,Hennepin,Minneapolis,39th St E,Columbus Av S,2000/06/03,0,Bicycle,Possible Injury (C),
