Crash ID,County,Community,Primary Road,Intersecting Road,Date,Time,Type,Level,Crash Rpt.,lat,long
12-115593,Hennepin,Minneapolis,10th Av N,5th St N,4/18/12,1347,Bicycle,Possible Injury (C),,44.9878209,-93.2840836
00-343352,Hennepin,Minneapolis,10th Av S,18th St E,11/4/00,1450,Bicycle,Possible Injury (C),,44.9651697,-93.2596873
01-290509,Hennepin,Minneapolis,10th Av S,35th St E,10/4/01,1656,Bicycle,Possible Injury (C),,44.9395614,-93.2600372
01-365730,Hennepin,Minneapolis,10th Av S,24th St E,12/19/01,2210,Bicycle,Possible Injury (C),,44.9591262,-93.2600279
02-125690,Hennepin,Minneapolis,10th Av S,35th St E,5/14/02,1720,Bicycle,Property Damage Only,,44.9395614,-93.2600372
02-223296,Hennepin,Minneapolis,10th Av S,25th St E,8/10/02,1500,Bicycle,Property Damage Only,,44.9573418,-93.2600526
03-147890,Hennepin,Minneapolis,10th Av S,26th St E,6/12/03,1838,Bicycle,Non-Incap. Injury (B),,44.955535,-93.2600689
04-221804,Hennepin,Minneapolis,10th Av S,38th St E,8/26/04,1615,Bicycle,Possible Injury (C),,44.934151,-93.2599746
04-226908,Hennepin,Minneapolis,10th Av S,26th St E,8/31/04,1415,Bicycle,Non-Incap. Injury (B),,44.955535,-93.2600689
05-235341,Hennepin,Minneapolis,10th Av S,Washington Av S,8/23/05,2134,Bicycle,Property Damage Only,,44.9760635,-93.2544526
05-292938,Hennepin,Minneapolis,10th Av S,Lake St E,10/15/05,1500,Bicycle,Non-Incap. Injury (B),,44.9483594,-93.2601442
06-159300,Hennepin,Minneapolis,10th Av S,Franklin Av E,6/14/06,1226,Bicycle,Possible Injury (C),,44.9627141,-93.2596618
07-136225,Hennepin,Minneapolis,10th Av S,25th St E,4/29/07,2023,Bicycle,Non-Incap. Injury (B),,44.9573418,-93.2600526
10-225716,Hennepin,Minneapolis,10th Av S,Lake St E,7/28/10,1600,Bicycle,Possible Injury (C),,44.9483594,-93.2601442
12-170023,Hennepin,Minneapolis,10th Av S,29th St E,6/4/12,1700,Bicycle,Possible Injury (C),,44.9500657,-93.2601031
12-319384,Hennepin,Minneapolis,10th Av S,25th St E,10/10/12,719,Bicycle,Possible Injury (C),,44.9573418,-93.2600526
13-260696,Hennepin,Minneapolis,10th Av S,Franklin Av E,8/10/13,1425,Bicycle,Non-Incap. Injury (B),,44.9627141,-93.2596618
14-184758,Hennepin,Minneapolis,10th Av S,Lake St E,6/2/14,1028,Bicycle,Possible Injury (C),,44.9483594,-93.2601442
01-126524,Hennepin,Minneapolis,10th Av SE,University Av SE,5/14/01,1820,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
01-202950,Hennepin,Minneapolis,10th Av SE,University Av SE,7/19/01,1710,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
06-160360,Hennepin,Minneapolis,10th Av SE,University Av SE,6/15/06,800,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
08-251070,Hennepin,Minneapolis,10th Av SE,4th St SE,8/14/08,1215,Bicycle,Possible Injury (C),,44.982706,-93.2413248
08-278221,Hennepin,Minneapolis,10th Av SE,8th St SE,9/7/08,1534,Bicycle,Possible Injury (C),,44.9871111,-93.2394353
09-132017,Hennepin,Minneapolis,10th Av SE,5th St SE,5/5/09,1523,Bicycle,Non-Incap. Injury (B),,44.9836877,-93.2405526
09-304950,Hennepin,Minneapolis,10th Av SE,University Av SE,9/25/09,1423,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
10-313197,Hennepin,Minneapolis,10th Av SE,University Av SE,10/12/10,1855,Bicycle,Possible Injury (C),,44.9817174,-93.2421319
11-140696,Hennepin,Minneapolis,10th Av SE,4th St SE,5/19/11,2113,Bicycle,Non-Incap. Injury (B),,44.982706,-93.2413248
11-261976,Hennepin,Minneapolis,10th Av SE,4th St SE,8/31/11,1650,Bicycle,Possible Injury (C),,44.982706,-93.2413248
12-280506,Hennepin,Minneapolis,10th Av SE,4th St SE,9/4/12,1621,Bicycle,Incap. Injury (A),,44.982706,-93.2413248
14-343809,Hennepin,Minneapolis,10th Av SE,8th St SE,9/27/14,1330,Bicycle,Non-Incap. Injury (B),,44.9871111,-93.2394353
00-145365,Hennepin,Minneapolis,10th St S,Marquette Av S,5/18/00,1415,Bicycle,Possible Injury (C),,44.9734036,-93.273332
00-318006,Hennepin,Minneapolis,10th St S,Nicollet Mall S,10/12/00,1750,Bicycle,Possible Injury (C),,44.9739823,-93.2746928
01-248070,Hennepin,Minneapolis,10th St S,Park Av S,8/27/01,1500,Bicycle,Property Damage Only,,44.9699118,-93.2650995
06-269398,Hennepin,Minneapolis,10th St S,Hennepin Av S,9/17/06,1935,Bicycle,Non-Incap. Injury (B),,44.9757825,-93.2779661
07-108578,Hennepin,Minneapolis,10th St S,Marquette Av S,4/14/07,1353,Bicycle,Possible Injury (C),,44.9734036,-93.273332
07-404891,Hennepin,Minneapolis,10th St S,Marquette Av S,12/13/07,1440,Bicycle,Property Damage Only,,44.9734036,-93.273332
09-088244,Hennepin,Minneapolis,10th St S,Nicollet Mall S,3/28/09,1159,Bicycle,Possible Injury (C),,44.9739823,-93.2746928
13-295816,Hennepin,Minneapolis,10th St S,4th Av S,9/6/13,1240,Bicycle,Possible Injury (C),,44.9716713,-93.2692173
14-164852,Hennepin,Minneapolis,10th St S,3rd Av S,5/18/14,2200,Bicycle,Possible Injury (C),,44.9722449,-93.2706177
14-287796,Hennepin,Minneapolis,10th St S,2nd Av S,8/15/14,1700,Bicycle,Property Damage Only,,44.9728038,-93.2719653
00-106370,Hennepin,Minneapolis,11th Av S,31st St E,4/13/00,2159,Bicycle,Possible Injury (C),,44.9465511,-93.2588419
00-112264,Hennepin,Minneapolis,11th Av S,26th St E,4/19/00,1640,Bicycle,Property Damage Only,,44.9555339,-93.2588124
00-129139,Hennepin,Minneapolis,11th Av S,Franklin Av E,5/4/00,820,Bicycle,Property Damage Only,,44.9627236,-93.2581946
00-158696,Hennepin,Minneapolis,11th Av S,Franklin Av E,5/30/00,655,Bicycle,Property Damage Only,,44.9627236,-93.2581946
00-272071,Hennepin,Minneapolis,11th Av S,15th St E,9/2/00,1300,Bicycle,Possible Injury (C),,44.9679983,-93.2581775
01-172881,Hennepin,Minneapolis,11th Av S,Lake St E,6/24/01,105,Bicycle,Possible Injury (C),,44.9483675,-93.2588723
01-262374,Hennepin,Minneapolis,11th Av S,Lake St E,9/8/01,1650,Bicycle,Possible Injury (C),,44.9483675,-93.2588723
02-035106,Hennepin,Minneapolis,11th Av S,Franklin Av E,2/7/02,2135,Bicycle,Possible Injury (C),,44.9627236,-93.2581946
03-063745,Hennepin,Minneapolis,11th Av S,55th St E,3/19/03,1820,Bicycle,Possible Injury (C),,44.9034235,-93.258879
04-090269,Hennepin,Minneapolis,11th Av S,31st St E,4/18/04,1335,Bicycle,Incap. Injury (A),,44.9465511,-93.2588419
04-178977,Hennepin,Minneapolis,11th Av S,14th St E,7/16/04,2230,Bicycle,Non-Incap. Injury (B),,44.9688477,-93.2581792
04-284177,Hennepin,Minneapolis,11th Av S,15th St E,10/27/04,2120,Bicycle,Possible Injury (C),,44.9679983,-93.2581775
04-295165,Hennepin,Minneapolis,11th Av S,15th St E,11/8/04,1741,Bicycle,Possible Injury (C),,44.9679983,-93.2581775
05-192987,Hennepin,Minneapolis,11th Av S,19th St E,7/17/05,1600,Bicycle,Possible Injury (C),,44.9639374,-93.2581882
05-296926,Hennepin,Minneapolis,11th Av S,24th St E,10/19/05,1445,Bicycle,Possible Injury (C),,44.9591243,-93.2582202
05-299892,Hennepin,Minneapolis,11th Av S,18th St E,10/22/05,640,Bicycle,Possible Injury (C),,44.9651577,-93.2581825
06-204028,Hennepin,Minneapolis,11th Av S,24th St E,7/22/06,1521,Bicycle,Property Damage Only,,44.9591243,-93.2582202
06-258005,Hennepin,Minneapolis,11th Av S,37th St E,9/7/06,1720,Bicycle,Non-Incap. Injury (B),,44.9359544,-93.2587336
07-130804,Hennepin,Minneapolis,11th Av S,5th St S,4/25/07,1710,Bicycle,Incap. Injury (A),,44.9724966,-93.2555968
08-329491,Hennepin,Minneapolis,11th Av S,18th St E,10/24/08,2333,Bicycle,Possible Injury (C),,44.9651577,-93.2581825
09-203038,Hennepin,Minneapolis,11th Av S,Washington Av S,7/2/09,1935,Bicycle,Non-Incap. Injury (B),,44.975352,-93.2531929
09-244137,Hennepin,Minneapolis,11th Av S,6th St S,8/4/09,2200,Bicycle,Non-Incap. Injury (B),,44.971495,-93.2564363
10-222345,Hennepin,Minneapolis,11th Av S,6th St S,7/25/10,1840,Bicycle,Non-Incap. Injury (B),,44.971495,-93.2564363
10-367773,Hennepin,Minneapolis,11th Av S,Franklin Av E,12/9/10,1000,Bicycle,Possible Injury (C),,44.9627236,-93.2581946
13-030916,Hennepin,Minneapolis,11th Av S,17th St E,2/2/13,1025,Bicycle,Property Damage Only,,44.9665931,-93.2574494
13-284445,Hennepin,Minneapolis,11th Av S,Lake St E,8/29/13,1757,Bicycle,Possible Injury (C),,44.9483675,-93.2588723
13-309880,Hennepin,Minneapolis,11th Av S,14th St E,9/19/13,1524,Bicycle,Non-Incap. Injury (B),,44.9688477,-93.2581792
14-242629,Hennepin,Minneapolis,11th Av S,Franklin Av E,7/13/14,2330,Bicycle,Possible Injury (C),,44.9627236,-93.2581946
14-256190,Hennepin,Minneapolis,11th Av S,3rd St S,7/23/14,1719,Bicycle,Possible Injury (C),,44.974397,-93.2540152
14-346627,Hennepin,Minneapolis,11th Av S,19th St E,9/29/14,1640,Bicycle,Non-Incap. Injury (B),,44.9639374,-93.2581882
01-160861,Hennepin,Minneapolis,11th Av SE,University Av SE,6/13/01,2356,Bicycle,Possible Injury (C),,44.9811917,-93.2407453
03-311050,Hennepin,Minneapolis,11th Av SE,Como Av SE,11/20/03,805,Bicycle,Property Damage Only,,44.9878943,-93.2215637
05-158203,Hennepin,Minneapolis,11th Av SE,University Av SE,6/16/05,1915,Bicycle,Non-Incap. Injury (B),,44.9811917,-93.2407453
11-219621,Hennepin,Minneapolis,11th Av SE,4th St SE,7/27/11,743,Bicycle,Possible Injury (C),,44.9821411,-93.2399343
10-138064,Hennepin,Minneapolis,11th St N,Hawthorne Av W,5/17/10,1640,Bicycle,Property Damage Only,,44.976282,-93.2798792
00-286302,Hennepin,Minneapolis,11th St S,Nicollet Mall S,9/14/00,1600,Bicycle,Possible Injury (C),,44.9730145,-93.2755751
02-156941,Hennepin,Minneapolis,11th St S,Hennepin Av S,6/12/02,803,Bicycle,Possible Injury (C),,44.9753,-93.279095
03-152430,Hennepin,Minneapolis,11th St S,Hennepin Av S,6/16/03,1916,Bicycle,Non-Incap. Injury (B),,44.9753,-93.279095
04-107237,Hennepin,Minneapolis,11th St S,LaSalle Av S,5/6/04,1020,Bicycle,Non-Incap. Injury (B),,44.9735816,-93.2769856
05-221748,Hennepin,Minneapolis,11th St S,Nicollet Mall S,8/12/05,818,Bicycle,Non-Incap. Injury (B),,44.9730145,-93.2755751
06-162102,Hennepin,Minneapolis,11th St S,Marquette Av S,6/16/06,1706,Bicycle,Non-Incap. Injury (B),,44.9723897,-93.2740908
06-247403,Hennepin,Minneapolis,11th St S,Marquette Av S,8/29/06,1028,Bicycle,Non-Incap. Injury (B),,44.9723897,-93.2740908
06-283222,Hennepin,Minneapolis,11th St S,Marquette Av S,10/1/06,1710,Bicycle,Non-Incap. Injury (B),,44.9723897,-93.2740908
07-211755,Hennepin,Minneapolis,11th St S,Marquette Av S,6/29/07,1445,Bicycle,Possible Injury (C),,44.9723897,-93.2740908
08-122361,Hennepin,Minneapolis,11th St S,LaSalle Av S,4/30/08,1100,Bicycle,Non-Incap. Injury (B),,44.9735816,-93.2769856
10-268786,Hennepin,Minneapolis,11th St S,Marquette Av S,9/2/10,1441,Bicycle,Possible Injury (C),,44.9723897,-93.2740908
10-318922,Hennepin,Minneapolis,11th St S,Hennepin Av S,10/17/10,2232,Bicycle,Possible Injury (C),,44.9753,-93.279095
12-306525,Hennepin,Minneapolis,11th St S,Hennepin Av S,9/28/12,845,Bicycle,Possible Injury (C),,44.9753,-93.279095
13-139563,Hennepin,Minneapolis,11th St S,2nd Av S,5/7/13,911,Bicycle,Non-Incap. Injury (B),,44.9718252,-93.27274
13-235989,Hennepin,Minneapolis,11th St S,3rd Av S,7/22/13,800,Bicycle,Possible Injury (C),,44.9712897,-93.2714132
02-163356,Hennepin,Minneapolis,12th Av N,Morgan Av N,6/17/02,2000,Bicycle,Possible Injury (C),,44.9896961,-93.3044689
04-182963,Hennepin,Minneapolis,12th Av N,Oliver Av N,7/20/04,2235,Bicycle,Property Damage Only,,44.9896938,-93.3069924
00-270243,Hennepin,Minneapolis,12th Av S,28th St E,8/31/00,2000,Bicycle,Possible Injury (C),,44.9519491,-93.2575553
00-324757,Hennepin,Minneapolis,12th Av S,24th St E,10/18/00,1700,Bicycle,Possible Injury (C),,44.9591258,-93.2574904
00-324844,Hennepin,Minneapolis,12th Av S,Lake St E,10/18/00,1800,Bicycle,Possible Injury (C),,44.9483681,-93.2575897
01-240292,Hennepin,Minneapolis,12th Av S,26th St E,8/20/01,2015,Bicycle,Possible Injury (C),,44.9555345,-93.257522
01-241344,Hennepin,Minneapolis,12th Av S,42nd St E,8/21/01,1755,Bicycle,Possible Injury (C),,44.9269393,-93.2574708
02-103526,Hennepin,Minneapolis,12th Av S,21st St E,4/22/02,1230,Bicycle,Property Damage Only,,44.9618295,-93.2574093
03-104091,Hennepin,Minneapolis,12th Av S,Lake St E,5/1/03,1549,Bicycle,Possible Injury (C),,44.9483681,-93.2575897
03-105980,Hennepin,Minneapolis,12th Av S,53rd St E,5/3/03,1120,Bicycle,Property Damage Only,,44.9070711,-93.2575499
03-239794,Hennepin,Minneapolis,12th Av S,Washington Av S,9/5/03,1400,Bicycle,Non-Incap. Injury (B),,44.9747625,-93.2518437
05-213837,Hennepin,Minneapolis,12th Av S,25th St E,8/5/05,905,Bicycle,Possible Injury (C),,44.9573451,-93.2575065
07-236766,Hennepin,Minneapolis,12th Av S,40th St E,7/19/07,831,Bicycle,Non-Incap. Injury (B),,44.930538,-93.2574584
08-162666,Hennepin,Minneapolis,12th Av S,38th St E,6/3/08,855,Bicycle,Possible Injury (C),,44.9341445,-93.2574453
09-120491,Hennepin,Minneapolis,12th Av S,59th St E,4/25/09,1125,Bicycle,Non-Incap. Injury (B),,44.8961234,-93.2578498
08-289473,Hennepin,Minneapolis,12th Av SE,4th St SE,9/18/08,730,Bicycle,Non-Incap. Injury (B),,44.9815969,-93.2385684
00-051603,Hennepin,Minneapolis,12th St N,Linden Av W,2/23/00,1227,Bicycle,Fatalities,,44.9759309,-93.2810714
01-201924,Hennepin,Minneapolis,12th St N,Glenwood Av N,7/18/01,2020,Bicycle,Property Damage Only,,44.9788969,-93.2815394
02-166225,Hennepin,Minneapolis,12th St N,Currie Av W,6/20/02,1019,Bicycle,Possible Injury (C),,44.9779341,-93.2815374
02-319216,Hennepin,Minneapolis,12th St N,Glenwood Av N,11/12/02,1652,Bicycle,Property Damage Only,,44.9788969,-93.2815394
04-155058,Hennepin,Minneapolis,12th St N,Glenwood Av N,6/24/04,705,Bicycle,Non-Incap. Injury (B),,44.9788969,-93.2815394
11-149164,Hennepin,Minneapolis,12th St N,Glenwood Av N,5/27/11,1044,Bicycle,Possible Injury (C),,44.9788969,-93.2815394
12-341680,Hennepin,Minneapolis,12th St N,Hawthorne Av W,10/31/12,649,Bicycle,Possible Injury (C),,44.9759309,-93.2810714
03-110704,Hennepin,Minneapolis,12th St S,LaSalle Av S,5/8/03,1030,Bicycle,Non-Incap. Injury (B),,44.9726369,-93.2777919
04-085954,Hennepin,Minneapolis,12th St S,Harmon Place S,4/14/04,1105,Bicycle,Possible Injury (C),,44.9738177,-93.2795671
05-275069,Hennepin,Minneapolis,12th St S,Yale Place S,9/28/05,1422,Bicycle,Incap. Injury (A),,44.9729304,-93.2788241
06-030210,Hennepin,Minneapolis,12th St S,Nicollet Mall S,2/3/06,1609,Bicycle,Possible Injury (C),,44.9720491,-93.2763976
06-242879,Hennepin,Minneapolis,12th St S,Hennepin Av S,8/25/06,1144,Bicycle,Non-Incap. Injury (B),,44.9747747,-93.2803738
06-246460,Hennepin,Minneapolis,12th St S,Marquette Av S,8/28/06,1340,Bicycle,Non-Incap. Injury (B),,44.9714344,-93.2749086
06-265868,Hennepin,Minneapolis,12th St S,Hennepin Av S,9/14/06,2253,Bicycle,Non-Incap. Injury (B),,44.9747747,-93.2803738
08-302463,Hennepin,Minneapolis,12th St S,LaSalle Av S,9/29/08,2358,Bicycle,Non-Incap. Injury (B),,44.9726369,-93.2777919
10-224859,Hennepin,Minneapolis,12th St S,Hennepin Av S,7/27/10,2030,Bicycle,Property Damage Only,,44.9747747,-93.2803738
10-266243,Hennepin,Minneapolis,12th St S,Hennepin Av S,8/31/10,1450,Bicycle,Property Damage Only,,44.9747747,-93.2803738
11-253152,Hennepin,Minneapolis,12th St S,LaSalle Av S,5/24/11,1140,Bicycle,Possible Injury (C),,44.9726369,-93.2777919
12-335248,Hennepin,Minneapolis,12th St S,LaSalle Av S,10/24/12,1525,Bicycle,Property Damage Only,,44.9726369,-93.2777919
05-246359,Hennepin,Minneapolis,13th Av NE,Marshall St NE,9/2/05,1100,Bicycle,Possible Injury (C),,45.0000933,-93.2700254
05-268715,Hennepin,Minneapolis,13th Av NE,University Av NE,9/22/05,1612,Bicycle,Incap. Injury (A),,45.0009052,-93.2630894
08-219442,Hennepin,Minneapolis,13th Av NE,4th St NE,7/19/08,815,Bicycle,Non-Incap. Injury (B),,45.0009054,-93.2615684
09-198940,Hennepin,Minneapolis,13th Av NE,University Av NE,6/29/09,1116,Bicycle,Non-Incap. Injury (B),,45.0009052,-93.2630894
10-175973,Hennepin,Minneapolis,13th Av NE,University Av NE,6/17/10,2250,Bicycle,Non-Incap. Injury (B),,45.0009052,-93.2630894
00-272362,Hennepin,Minneapolis,13th Av S,Lake St E,9/2/00,1905,Bicycle,Possible Injury (C),,44.9483688,-93.2563253
01-186464,Hennepin,Minneapolis,13th Av S,28th St E,7/5/01,1710,Bicycle,Possible Injury (C),,44.9519488,-93.2562826
01-298583,Hennepin,Minneapolis,13th Av S,28th St E,10/12/01,1700,Bicycle,Possible Injury (C),,44.9519488,-93.2562826
02-148150,Hennepin,Minneapolis,13th Av S,Franklin Av E,6/4/02,1456,Bicycle,Possible Injury (C),,44.9627274,-93.2568039
02-175610,Hennepin,Minneapolis,13th Av S,26th St E,6/28/02,2030,Bicycle,Possible Injury (C),,44.9555418,-93.256254
03-217367,Hennepin,Minneapolis,13th Av S,37th St E,8/15/03,1750,Bicycle,Possible Injury (C),,44.9359442,-93.2561965
03-250697,Hennepin,Minneapolis,13th Av S,28th St E,9/15/03,1730,Bicycle,Possible Injury (C),,44.9519488,-93.2562826
04-100822,Hennepin,Minneapolis,13th Av S,28th St E,4/29/04,1628,Bicycle,Possible Injury (C),,44.9519488,-93.2562826
04-134276,Hennepin,Minneapolis,13th Av S,Franklin Av E,6/3/04,1904,Bicycle,Possible Injury (C),,44.9627274,-93.2568039
04-180185,Hennepin,Minneapolis,13th Av S,Lake St E,7/18/04,40,Bicycle,Incap. Injury (A),,44.9483688,-93.2563253
04-259848,Hennepin,Minneapolis,13th Av S,Lake St E,10/1/04,1810,Bicycle,Property Damage Only,,44.9483688,-93.2563253
05-290624,Hennepin,Minneapolis,13th Av S,Franklin Av E,10/13/05,1755,Bicycle,Property Damage Only,,44.9627274,-93.2568039
08-316332,Hennepin,Minneapolis,13th Av S,Franklin Av E,10/12/08,1440,Bicycle,Non-Incap. Injury (B),,44.9627274,-93.2568039
09-175733,Hennepin,Minneapolis,13th Av S,23rd St E,6/10/09,1921,Bicycle,Possible Injury (C),,44.960044,-93.2561587
10-146267,Hennepin,Minneapolis,13th Av S,Lake St E,5/24/10,1315,Bicycle,Possible Injury (C),,44.9483688,-93.2563253
11-309486,Hennepin,Minneapolis,13th Av S,31st St E,10/12/11,2043,Bicycle,Non-Incap. Injury (B),,44.9465517,-93.2563016
12-198122,Hennepin,Minneapolis,13th Av S,Franklin Av E,6/27/12,1725,Bicycle,Non-Incap. Injury (B),,44.9627274,-93.2568039
14-226330,Hennepin,Minneapolis,13th Av S,54th St E,7/2/14,844,Bicycle,Non-Incap. Injury (B),,44.9052759,-93.256301
00-177816,Hennepin,Minneapolis,13th Av SE,University Av SE,6/15/00,1424,Bicycle,Possible Injury (C),,44.9800787,-93.2379619
01-233355,Hennepin,Minneapolis,13th Av SE,University Av SE,8/14/01,1845,Bicycle,Possible Injury (C),,44.9800787,-93.2379619
03-222069,Hennepin,Minneapolis,14th Av N,Emerson Av N,8/20/03,649,Bicycle,Possible Injury (C),,44.9930687,-93.2941148
04-137296,Hennepin,Minneapolis,14th Av N,Morgan Av N,6/6/04,1930,Bicycle,Property Damage Only,,44.993071,-93.304451
04-285970,Hennepin,Minneapolis,14th Av N,Girard Av N,10/29/04,1950,Bicycle,Property Damage Only,,44.9930667,-93.2971768
05-240800,Hennepin,Minneapolis,14th Av N,Emerson Av N,8/28/05,1117,Bicycle,Possible Injury (C),,44.9930687,-93.2941148
10-290720,Hennepin,Minneapolis,14th Av N,Emerson Av N,9/21/10,1953,Bicycle,Property Damage Only,,44.9930687,-93.2941148
07-235948,Hennepin,Minneapolis,14th Av NE,Buchanan St NE,7/18/07,1538,Bicycle,Possible Injury (C),,45.0017065,-93.2397016
01-120762,Hennepin,Minneapolis,14th Av S,24th St E,5/9/01,1915,Bicycle,Possible Injury (C),,44.9591301,-93.2549436
01-155481,Hennepin,Minneapolis,14th Av S,Lake St E,6/9/01,1420,Bicycle,Possible Injury (C),,44.9483658,-93.2550406
01-354441,Hennepin,Minneapolis,14th Av S,26th St E,12/7/01,2215,Bicycle,Property Damage Only,,44.9555502,-93.2549838
02-104867,Hennepin,Minneapolis,14th Av S,26th St E,4/23/02,1854,Bicycle,Possible Injury (C),,44.9555502,-93.2549838
02-262323,Hennepin,Minneapolis,14th Av S,Lake St E,9/14/02,1030,Bicycle,Property Damage Only,,44.9483658,-93.2550406
04-170798,Hennepin,Minneapolis,14th Av S,26th St E,7/9/04,1240,Bicycle,Incap. Injury (A),,44.9555502,-93.2549838
06-177542,Hennepin,Minneapolis,14th Av S,27th St E,6/29/06,1932,Bicycle,Non-Incap. Injury (B),,44.9537388,-93.2549964
09-096763,Hennepin,Minneapolis,14th Av S,25th St E,4/4/09,2130,Bicycle,Possible Injury (C),,44.9573494,-93.2549693
10-328828,Hennepin,Minneapolis,14th Av S,28th St E,10/28/10,804,Bicycle,Possible Injury (C),,44.9519497,-93.2550011
02-354169,Hennepin,Minneapolis,14th Av SE,University Av SE,12/22/02,115,Bicycle,Possible Injury (C),,44.9795275,-93.2365492
04-120836,Hennepin,Minneapolis,14th Av SE,Hennepin Av E,5/20/04,1010,Bicycle,Non-Incap. Injury (B),,44.9914748,-93.232048
05-304808,Hennepin,Minneapolis,14th Av SE,University Av SE,10/27/05,1236,Bicycle,Possible Injury (C),,44.9795275,-93.2365492
06-111598,Hennepin,Minneapolis,14th Av SE,University Av SE,5/1/06,1845,Bicycle,Possible Injury (C),,44.9795275,-93.2365492
12-277552,Hennepin,Minneapolis,14th Av SE,6th St SE,9/1/12,2155,Bicycle,Non-Incap. Injury (B),,44.9824584,-93.2342226
00-331375,Hennepin,Minneapolis,14th St E,Park Av S,10/20/00,745,Bicycle,Property Damage Only,,44.9689205,-93.2650857
04-061813,Hennepin,Minneapolis,14th St E,Park Av S,3/18/04,1400,Bicycle,Possible Injury (C),,44.9689205,-93.2650857
08-286184,Hennepin,Minneapolis,14th St E,Chicago Av S,9/15/08,945,Bicycle,Incap. Injury (A),,44.9688679,-93.2625516
09-149580,Hennepin,Minneapolis,14th St E,Park Av S,5/20/09,740,Bicycle,Fatalities,,44.9689205,-93.2650857
09-194878,Hennepin,Minneapolis,14th St E,10th Av S,6/25/09,2238,Bicycle,Non-Incap. Injury (B),,44.9688546,-93.2596858
10-267770,Hennepin,Minneapolis,14th St E,10th Av S,9/1/10,2229,Bicycle,Possible Injury (C),,44.9688546,-93.2596858
13-167003,Hennepin,Minneapolis,14th St E,Chicago Av S,5/29/13,1615,Bicycle,Non-Incap. Injury (B),,44.9688679,-93.2625516
00-118854,Hennepin,Minneapolis,14th St W,Nicollet Av S,4/25/00,1455,Bicycle,Possible Injury (C),,44.9687805,-93.2778175
00-137121,Hennepin,Minneapolis,14th St W,LaSalle Av S,5/10/00,2008,Bicycle,Possible Injury (C),,44.9687884,-93.2793342
00-281777,Hennepin,Minneapolis,14th St W,Spruce Place S,9/10/00,2020,Bicycle,Possible Injury (C),,44.9687992,-93.28083
01-331091,Hennepin,Minneapolis,14th St W,LaSalle Av S,11/13/01,1157,Bicycle,Possible Injury (C),,44.9687884,-93.2793342
03-104221,Hennepin,Minneapolis,14th St W,LaSalle Av S,5/1/03,1805,Bicycle,Possible Injury (C),,44.9687884,-93.2793342
03-133477,Hennepin,Minneapolis,14th St W,Nicollet Av S,5/30/03,1020,Bicycle,Non-Incap. Injury (B),,44.9687805,-93.2778175
06-091610,Hennepin,Minneapolis,14th St W,Nicollet Av S,4/12/06,650,Bicycle,Non-Incap. Injury (B),,44.9687805,-93.2778175
06-216102,Hennepin,Minneapolis,14th St W,LaSalle Av S,8/2/06,1046,Bicycle,Possible Injury (C),,44.9687884,-93.2793342
00-261218,Hennepin,Minneapolis,15th Av N,Fremont Av N,8/24/00,1458,Bicycle,Possible Injury (C),,44.9941399,-93.295644
02-269210,Hennepin,Minneapolis,15th Av NE,Jefferson St NE,9/20/02,1700,Bicycle,Possible Injury (C),,45.0030836,-93.255007
12-263714,Hennepin,Minneapolis,15th Av NE,5th St NE,8/21/12,832,Bicycle,Possible Injury (C),,45.0030723,-93.2602543
00-121200,Hennepin,Minneapolis,15th Av S,Franklin Av E,4/27/00,1450,Bicycle,Possible Injury (C),,44.9627322,-93.2539634
00-247314,Hennepin,Minneapolis,15th Av S,Franklin Av E,8/12/00,1810,Bicycle,Possible Injury (C),,44.9627322,-93.2539634
01-104868,Hennepin,Minneapolis,15th Av S,34th St E,4/25/01,1655,Bicycle,Possible Injury (C),,44.9413618,-93.2537177
01-208934,Hennepin,Minneapolis,15th Av S,40th St E,7/24/01,1840,Bicycle,Possible Injury (C),,44.930521,-93.2536525
01-274345,Hennepin,Minneapolis,15th Av S,Franklin Av E,9/19/01,1345,Bicycle,Possible Injury (C),,44.9627322,-93.2539634
02-207806,Hennepin,Minneapolis,15th Av S,31st St E,7/27/02,1625,Bicycle,Possible Injury (C),,44.9465547,-93.2537646
02-252344,Hennepin,Minneapolis,15th Av S,19th St E,9/5/02,1520,Bicycle,Possible Injury (C),,44.9639363,-93.2539643
02-262436,Hennepin,Minneapolis,15th Av S,28th St E,9/14/02,1340,Bicycle,Possible Injury (C),,44.9519468,-93.2537337
04-188932,Hennepin,Minneapolis,15th Av S,24th St E,7/26/04,1425,Bicycle,Possible Injury (C),,44.9591296,-93.2536775
05-185959,Hennepin,Minneapolis,15th Av S,26th St E,7/11/05,1430,Bicycle,Possible Injury (C),,44.9555471,-93.253716
05-237532,Hennepin,Minneapolis,15th Av S,33rd St E,8/25/05,1830,Bicycle,Property Damage Only,,44.9429274,-93.2537328
05-287259,Hennepin,Minneapolis,15th Av S,31st St E,10/10/05,845,Bicycle,Possible Injury (C),,44.9465547,-93.2537646
10-198868,Hennepin,Minneapolis,15th Av S,42nd St E,7/6/10,1710,Bicycle,Non-Incap. Injury (B),,44.9269393,-93.2536697
11-180333,Hennepin,Minneapolis,15th Av S,35th St E,6/23/11,820,Bicycle,Possible Injury (C),,44.939555,-93.2536977
