CrashID,IntersectionID,StreetOn,IntersectingStreet,Month,Day,Year
02-264651,Int-11382,28th St E,Chicago Av S,September,16,2002
02-264668,Int-13709,46th St W,Nicollet Av S,September,16,2002
02-265832,Int-10945,24th St W,Lyndale Av S,September,17,2002
02-265948,Int-16041,5th Av S,Franklin Av E,September,17,2002
02-266894,Int-14130,4th Av S,50th St E,September,18,2002
02-269148,Int-15869,Bryant Av N,Dowling Av N,September,20,2002
02-269210,Int-10230,15th Av NE,Jefferson St NE,September,20,2002
02-269368,Int-11357,18th Av S,28th St E,September,20,2002
02-269407,Int-11198,26th St W,Nicollet Av S,September,20,2002
02-270419,Int-13724,47th Av N,Dupont Av N,September,21,2002
02-277613,Int-11731,19th Av S,31st St E,September,28,2002
02-278568,Int-10383,17th St E,Portland Av S,September,29,2002
02-279464,Int-17616,I-35W SB Ramp,Washington Av S,September,30,2002
02-279584,Int-10388,Central Av NE,18 1/2 Av NE,September,30,2002
02-280093,Int-16292,16th Av SE,Hennepin Av E,October,1,2002
02-280382,Int-14515,53rd St W,Lyndale Av S,October,1,2002
02-280836,Int-11169,26th St E,Clinton Av S,October,1,2002
02-282226,Int-11395,28th St W,Blaisdell Av S,October,3,2002
02-282730,Int-11029,25th St W,Garfield Av S,October,3,2002
02-285490,Int-16053,Elliot Av S,Franklin Av E,October,6,2002
02-286297,Int-16526,21st Av S,Lake St E,October,7,2002
02-287272,Int-17574,2nd Av N,Washington Av N,October,8,2002
02-287835,Int-17187,William Berry Pkwy S,Richfield Road S,October,9,2002
02-289962,Int-14404,52nd St W,Xerxes Av S,October,11,2002
02-290293,Int-10423,18th Av NE,Cleveland St NE,October,11,2002
02-291309,Int-13214,42nd St E,West River Pkwy S,October,12,2002
02-293606,Int-13694,46th St W,Grand Av S,October,15,2002
02-294493,Int-15431,8th St SE,10th Av SE,October,16,2002
02-295714,Int-15347,7th St S,Marquette Av S,October,17,2002
02-296499,Int-11779,31st St W,Blaisdell Av S,October,18,2002
02-302812,Int-13313,4th Av S,43rd St E,October,25,2002
02-304649,Int-12808,39th St E,Portland Av S,October,27,2002
02-304932,Int-15084,5th St SE,15th Av SE,October,27,2002
02-305367,Int-10703,1st Av S,22nd St E,October,28,2002
02-306944,Int-16734,Jefferson St NE,Lowry Av NE,October,30,2002
02-308929,Int-15752,22nd Av SE,Cole Av SE,November,1,2002
02-313076,Int-11733,21st Av S,31st St E,November,5,2002
02-313646,Int-17301,Fillmore St NE,Spring St NE,November,6,2002
02-313650,Int-16228,Grant St W,LaSalle Av S,November,6,2002
02-318533,Int-10383,17th St E,Portland Av S,November,11,2002
02-319116,Int-15343,5th Av S,7th St S,November,12,2002
02-319216,Int-16173,12th St N,Glenwood Av N,November,12,2002
02-320590,Int-15393,8th Av NE,Marshall St NE,November,14,2002
02-322856,Int-12309,35th St E,Portland Av S,November,16,2002
02-324581,Int-15084,5th St SE,15th Av SE,November,18,2002
02-326370,Int-17583,Hennepin Av S,Washington Av S,November,20,2002
02-326380,Int-17507,8th Av SE,University Av SE,November,20,2002
02-326899,Int-13252,42nd St W,Zenith Av S,November,21,2002
02-328673,Int-11038,25th St W,Lyndale Av S,November,23,2002
02-330441,Int-17521,University Av SE,I-35W NB Ramp,November,25,2002
02-332652,Int-12997,40th St W,Nicollet Av S,November,27,2002
02-342606,Int-10383,17th St E,Portland Av S,December,9,2002
02-344327,Int-14566,54th St E,Chicago Av S,December,11,2002
02-345530,Int-12885,3rd St S,Marquette Av S,December,12,2002
02-348263,Int-10851,24th Av N,Thomas Av N,December,15,2002
02-349953,Int-17500,2nd Av SE,University Av SE,December,17,2002
02-350805,Int-15261,2nd Av S,6th St S,December,18,2002
02-354169,Int-17488,14th Av SE,University Av SE,December,22,2002
02-354926,Int-10558,1st St S,2nd Av S,December,23,2002
02-361397,Int-10115,3rd Av S,12th St S,December,31,2002
02-361539,Int-13140,42nd Av N,Lyndale Av N,December,31,2002
03-005761,Int-15490,9th St S,Marquette Av S,January,7,2003
03-027388,Int-14052,4th St SE,10th Av SE,February,2,2003
03-063745,Int-14623,11th Av S,55th St E,March,19,2003
03-066286,Int-11199,26th St W,Pillsbury Av S,March,22,2003
03-066481,Int-15626,Broadway St NE,Johnson St NE,March,22,2003
03-067945,Int-16722,Central Av NE,Lowry Av NE,March,24,2003
03-068807,Int-10718,3rd Av S,22nd St E,March,25,2003
03-069995,Int-14754,56th St W,James Av S,March,26,2003
03-073442,Int-12796,39th St E,Bloomington Av S,March,30,2003
03-078036,Int-17505,6th Av SE,University Av SE,April,4,2003
03-080899,Int-16556,4th Av S,Lake St E,April,8,2003
03-086382,Int-11011,25th St E,Clinton Av S,April,13,2003
03-088606,Int-11324,2nd St N,28th Av N,April,15,2003
03-088687,Int-17634,Harvard St SE,Washington Av SE,April,15,2003
03-091994,Int-10808,23rd Av NE,Johnson St NE,April,19,2003
03-095635,Int-17246,18th Av SE,Rollins Av SE,April,23,2003
03-095775,Int-16588,Dean Pkwy S,Lake St W,April,23,2003
03-095832,Int-17562,Hennepin Av S,Vineland Place W,April,23,2003
03-097827,Int-15488,9th St S,Chicago Av S,April,25,2003
03-100891,Int-13898,49th Av N,Humboldt Av N,April,28,2003
03-101130,Int-16556,4th Av S,Lake St E,April,28,2003
03-102931,Int-11178,26th St E,Portland Av S,April,30,2003
03-103742,Int-12808,39th St E,Portland Av S,May,1,2003
03-104091,Int-16516,12th Av S,Lake St E,May,1,2003
03-104221,Int-10203,14th St W,LaSalle Av S,May,1,2003
03-105191,Int-12209,35th Av N,Humboldt Av N,May,2,2003
03-105387,Int-10755,22nd St W,Lyndale Av S,May,2,2003
03-105980,Int-14439,12th Av S,53rd St E,May,3,2003
03-106067,Int-11095,26th Av NE,Central Av NE,May,3,2003
03-106167,Int-16616,Lake St W,Lyndale Av S,May,3,2003
03-110704,Int-10118,12th St S,LaSalle Av S,May,8,2003
03-114710,Int-10755,22nd St W,Lyndale Av S,May,12,2003
03-115438,Int-11863,3rd Av S,32nd St E,May,13,2003
03-116690,Int-16685,Emerson Av N,Lowry Av N,May,14,2003
03-118712,Int-16973,Cedar Av S,East Lake Nokomis Pkwy S,May,16,2003
03-119871,Int-15557,West Broadway Av N,Bryant Av N,May,17,2003
03-120133,Int-15254,6th St S,13th Av S,May,17,2003
03-121193,Int-12504,37th Av N,Logan Av N,May,18,2003
03-121635,Int-13673,46th St E,Snelling Av S,May,19,2003
03-124112,Int-13646,46th Av S,46th St E,May,21,2003
03-128558,Int-11199,26th St W,Pillsbury Av S,May,25,2003
03-129283,Int-17668,Lyndale Av N,Webber Pkwy N,May,26,2003
03-130377,Int-14233,36th Av S,51st St E,May,27,2003
03-130430,Int-16541,36th Av S,Lake St E,May,27,2003
03-130441,Int-11095,26th Av NE,Central Av NE,May,27,2003
03-131636,Int-16536,31st Av S,Lake St E,May,28,2003
03-131696,Int-10589,21st Av N,Lyndale Av N,May,28,2003
03-132667,Int-16158,Glenwood Av N,Gramercy Av N,May,29,2003
03-133274,Int-15052,5th St S,Hennepin Av S,June,8,2003
03-133477,Int-10205,14th St W,Nicollet Av S,May,30,2003
03-134160,Int-16051,Clinton Av S,Franklin Av E,May,30,2003
03-136827,Int-16578,Lake St E,Stevens Av S,June,2,2003
03-140030,Int-11163,3rd Av S,26th St E,June,5,2003
03-140115,Int-13620,2nd Av S,46th St E,June,5,2003
03-140167,Int-15452,9th Av NE,University Av NE,June,5,2003
03-142382,Int-12696,38th St E,Minnehaha Av S,June,7,2003
03-143670,Int-10424,18th Av NE,Fillmore St NE,June,8,2003
03-143862,Int-15856,Douglas Av W,Hennepin Av S,June,9,2003
03-144024,Int-16033,30th Av S,Franklin Av E,June,9,2003
03-144653,Int-17668,Lyndale Av N,Webber Pkwy N,June,9,2003
03-145644,Int-11392,28th St E,Portland Av S,June,10,2003
03-147765,Int-10945,24th St W,Lyndale Av S,June,12,2003
03-147890,Int-11124,10th Av S,26th St E,June,12,2003
03-148032,Int-11166,26th St E,Bloomington Av S,June,12,2003
03-150637,Int-17021,Humboldt Av N,Olson Memorial Hwy N,June,14,2003
03-151361,Int-11392,28th St E,Portland Av S,June,15,2003
03-152430,Int-10061,11th St S,Hennepin Av S,June,16,2003
03-153445,Int-16696,Lowry Av N,Oliver Av N,June,17,2003
03-153556,Int-12311,35th St E,Stevens Av S,June,17,2003
03-154499,Int-12312,35th St W,Aldrich Av S,June,18,2003
03-157808,Int-14610,54th St W,Lyndale Av S,June,21,2003
03-159252,Int-11439,29th Av N,Dupont Av N,June,22,2003
03-160137,Int-14314,52nd Av N,James Av N,June,23,2003
03-160685,Int-16687,Girard Av N,Lowry Av N,June,24,2003
03-162221,Int-16606,Grand Av S,Lake St W,June,25,2003
03-163008,Int-14093,50th Av N,Penn Av N,June,26,2003
03-163190,Int-15549,2nd St N,West Broadway Av N,June,26,2003
03-163204,Int-13362,44th Av N,Fremont Av N,June,26,2003
03-163331,Int-10356,5th St NE,17th Av NE,June,26,2003
03-164205,Int-16107,Franklin Av W,Lyndale Av S,June,27,2003
03-167267,Int-16354,Cedar Av S,MN-55 EB Ramp,June,30,2003
03-167271,Int-17578,5th Av N,Washington Av N,June,30,2003
03-168228,Int-11175,26th St E,Minnehaha Av S,July,1,2003
03-168238,Int-17237,23rd Av S,Riverside Av S,July,1,2003
03-168480,Int-15554,Aldrich Av N,West Broadway Av N,July,1,2003
03-168540,Int-10933,24th St W,Colfax Av S,July,1,2003
03-168577,Int-12850,2nd St NE,3rd Av NE,July,1,2003
03-169650,Int-16561,Clinton Av S,Lake St E,July,2,2003
03-169954,Int-12461,36th St E,Portland Av S,July,2,2003
03-170930,Int-12311,35th St E,Stevens Av S,July,3,2003
03-171880,Int-13772,47th St E,Portland Av S,July,4,2003
03-174397,Int-17595,Cedar Av S,Washington Av S,July,7,2003
03-174676,Int-17375,Pierce St NE,Summer St NE,July,7,2003
03-179035,Int-10859,5th St NE,24th Av NE,July,11,2003
03-179351,Int-11056,26th Av N,Emerson Av N,July,11,2003
03-181960,Int-16237,Clifton Place S,Groveland Av W,July,14,2003
03-182380,Int-15373,8th Av N,Newton Av N,July,14,2003
03-182584,Int-16042,Bloomington Av S,Franklin Av E,July,14,2003
03-184085,Int-12198,34th St W,Pleasant Av S,July,16,2003
03-184284,Int-16024,23rd Av S,Franklin Av E,July,16,2003
03-184434,Int-11062,26th Av N,Irving Av N,July,16,2003
03-185424,Int-15425,8th St S,Nicollet Mall S,July,17,2003
03-186685,Int-15582,West Broadway Av N,Penn Av N,July,18,2003
03-187244,Int-11392,28th St E,Portland Av S,July,18,2003
03-187945,Int-15305,7th Av NE,University Av NE,July,19,2003
03-190862,Int-16065,Franklin Av E,Riverside Av S,July,22,2003
03-191130,Int-16307,Hennepin Av E,Johnson St NE,July,22,2003
03-192704,Int-10261,15th St W,Oak Grove St W,July,23,2003
03-193518,Int-12327,35th St W,Lyndale Av S,July,16,2003
03-194155,Int-13493,44th St W,Wentworth Av S,July,25,2003
03-197334,Int-16680,Bryant Av N,Lowry Av N,July,28,2003
03-197711,Int-11189,26th St W,Garfield Av S,July,28,2003
03-198969,Int-17608,5th Av S,Washington Av S,July,29,2003
03-199828,Int-11122,26th Av NE,University Av NE,July,30,2003
03-200080,Int-15492,9th St S,Park Av S,July,30,2003
03-200288,Int-16738,Lowry Av NE,Marshall St NE,July,31,2003
03-200658,Int-16899,Bryant Av S,Minnehaha Pkwy W,July,31,2003
03-200688,Int-17924,Franklin Av E,West River Pkwy S,July,31,2003
03-200774,Int-12274,2nd Av S,35th St E,July,31,2003
03-201683,Int-10145,Alice Rainville Place S,Marquette Av S,August,1,2003
03-201710,Int-15676,1st Av S,Cecil Newman Lane E,August,1,2003
03-201775,Int-16337,Hillside Av N,Logan Av N,August,1,2003
03-205325,Int-17888,22nd Av N,Irving Av N,August,4,2003
03-205776,Int-16110,Franklin Av W,Nicollet Av S,August,5,2003
03-208307,Int-11392,28th St E,Portland Av S,August,7,2003
03-208554,Int-12487,36th St W,Nicollet Av S,August,7,2003
03-211946,Int-11422,28th St W,Lyndale Av S,August,10,2003
03-212896,Int-10765,23rd Av N,Aldrich Av N,August,11,2003
03-213971,Int-13183,34th Av S,42nd St E,August,12,2003
03-213973,Int-12480,36th St W,Hennepin Av S,August,12,2003
03-214098,Int-15554,Aldrich Av N,West Broadway Av N,August,12,2003
03-215029,Int-12691,38th St E,Elliot Av S,August,13,2003
03-215263,Int-16690,James Av N,Lowry Av N,August,13,2003
03-217367,Int-12563,13th Av S,37th St E,August,15,2003
03-220413,Int-13802,47th St W,Upton Av S,August,18,2003
03-221270,Int-16061,Franklin Av E,West River Pkwy S,August,19,2003
03-221362,Int-14998,Penn Av S,Queen Av S,August,19,2003
03-221399,Int-11780,31st St W,Bryant Av S,August,19,2003
03-221478,Int-16051,Clinton Av S,Franklin Av E,August,19,2003
03-222069,Int-10151,14th Av N,Emerson Av N,August,20,2003
03-222666,Int-17521,University Av SE,I-35W NB Ramp,August,20,2003
03-223655,Int-10551,1st St S,Hennepin Av S,August,21,2003
03-226024,Int-16055,Franklin Av E,Minnehaha Av S,August,23,2003
03-226781,Int-10947,24th St W,Nicollet Av S,August,24,2003
03-227224,Int-12216,35th Av N,Newton Av N,August,24,2003
03-227249,Int-12453,36th St E,Columbus Av S,August,24,2003
03-228097,Int-16557,5th Av S,Lake St E,August,25,2003
03-231259,Int-16534,2nd Av S,Lake St E,August,28,2003
03-232167,Int-16606,Grand Av S,Lake St W,August,29,2003
03-232500,Int-16107,Franklin Av W,Lyndale Av S,August,29,2003
03-233792,Int-16579,Aldrich Av S,Lake St W,August,30,2003
03-234537,Int-16837,Minnehaha Pkwy E,22nd Av S,August,31,2003
03-234950,Int-16548,42nd Av S,Lake St E,August,31,2003
03-235653,Int-11314,27th St W,Grand Av S,September,1,2003
03-237493,Int-15315,7th St S,Hennepin Av S,September,5,2003
03-238000,Int-13672,46th St E,Portland Av S,September,3,2003
03-238795,Int-17528,Saint Mary's Av SE,University Av SE,September,4,2003
03-238842,Int-13974,49th St W,Knox Av S,September,4,2003
03-239491,Int-16281,29th Av SE,Hennepin Av E,September,5,2003
03-239774,Int-15409,8th St S,20th Av S,September,5,2003
03-239782,Int-15582,West Broadway Av N,Penn Av N,September,5,2003
03-239794,Int-17592,12th Av S,Washington Av S,September,5,2003
03-239919,Int-14035,4th St S,20th Av S,September,5,2003
03-242367,Int-11066,26th Av N,Lyndale Av N,September,7,2003
03-243116,Int-16038,31st Av S,Franklin Av E,September,8,2003
03-243820,Int-17505,6th Av SE,University Av SE,September,9,2003
03-244412,Int-16162,Glenwood Av N,East Lyndale Av N,September,9,2003
03-246601,Int-11555,29th St W,Pillsbury Av S,September,11,2003
03-246911,Int-17615,I-35W NB Ramp,Washington Av S,September,12,2003
03-247431,Int-16103,Franklin Av W,Knox Av S,September,12,2003
03-247504,Int-16683,Colfax Av N,Lowry Av N,September,12,2003
03-249704,Int-10987,16th Av S,25th St E,September,14,2003
03-250390,Int-16526,21st Av S,Lake St E,September,15,2003
03-250504,Int-12168,34th St E,Longfellow Av S,September,15,2003
03-250612,Int-15084,5th St SE,15th Av SE,September,15,2003
03-250697,Int-11352,13th Av S,28th St E,September,15,2003
03-250899,Int-10733,22nd St W,Aldrich Av S,September,15,2003
03-251529,Int-17521,University Av SE,I-35W NB Ramp,September,16,2003
03-251702,Int-16697,Lowry Av N,Penn Av N,September,16,2003
03-252977,Int-13671,46th St E,Park Av S,September,17,2003
03-253880,Int-15631,Broadway St NE,Monroe St NE,September,18,2003
03-253998,Int-12576,23rd Av S,37th St E,September,18,2003
03-254145,Int-17627,Park Av S,Washington Av S,September,18,2003
03-254422,Int-11358,1st Av S,28th St E,September,19,2003
03-257658,Int-17522,University Av SE,I-35W SB Ramp,September,22,2003
03-260011,Int-11572,2nd Av N,West Lyndale Av N,September,24,2003
03-260535,Int-13207,42nd St E,Hiawatha Av S,September,25,2003
03-260681,Int-15415,2nd Av S,8th St S,September,25,2003
03-261936,Int-10534,1st Av NE,2nd St NE,September,26,2003
03-262222,Int-17615,I-35W NB Ramp,Washington Av S,September,26,2003
03-265446,Int-16107,Franklin Av W,Lyndale Av S,September,30,2003
03-266265,Int-14188,50th St W,Zenith Av S,October,1,2003
03-266336,Int-17497,26th Av SE,University Av SE,October,1,2003
03-267156,Int-10538,1st Av NE,Central Av NE,October,2,2003
03-267278,Int-12738,39th Av N,Dupont Av N,October,2,2003
03-270234,Int-10988,17th Av S,25th St E,October,5,2003
03-270239,Int-11817,32nd Av NE,Buchanan St NE,October,5,2003
03-272051,Int-11130,16th Av S,26th St E,October,7,2003
03-273142,Int-10381,17th St E,Elliot Av S,October,8,2003
03-275001,Int-16881,Minnehaha Pkwy E,Portland Av S,October,10,2003
03-275307,Int-16722,Central Av NE,Lowry Av NE,October,10,2003
03-275353,Int-16022,21st Av S,Franklin Av E,October,10,2003
03-275623,Int-17507,8th Av SE,University Av SE,October,10,2003
03-277784,Int-10911,24th St E,Chicago Av S,October,13,2003
03-278480,Int-11395,28th St W,Blaisdell Av S,October,14,2003
03-278491,Int-12300,35th St E,Dight Av S,October,14,2003
03-283565,Int-11572,2nd Av N,West Lyndale Av N,October,19,2003
03-284860,Int-13848,48th St W,Aldrich Av S,October,21,2003
03-284992,Int-16411,Cedar Av S,I-94 WB Ramp,October,21,2003
03-285348,Int-13718,46th St W,Zenith Av S,October,21,2003
03-285808,Int-15347,7th St S,Marquette Av S,October,22,2003
03-285809,Int-12474,36th St W,Emerson Av S,October,22,2003
03-286021,Int-10256,15th St W,LaSalle Av S,October,22,2003
03-287313,Int-11209,27th Av N,Emerson Av N,October,23,2003
03-289247,Int-15776,17th Av SE,Como Av SE,October,25,2003
03-289852,Int-11314,27th St W,Grand Av S,October,25,2003
03-290185,Int-17505,6th Av SE,University Av SE,October,26,2003
03-292680,Int-10908,24th St E,Bloomington Av S,October,29,2003
03-294565,Int-11258,27th Av NE,Polk St NE,October,31,2003
03-296760,Int-16033,30th Av S,Franklin Av E,November,3,2003
03-301391,Int-16574,Lake St E,West River Pkwy S,November,8,2003
03-302747,Int-16722,Central Av NE,Lowry Av NE,November,10,2003
03-303380,Int-11130,16th Av S,26th St E,November,11,2003
03-304234,Int-17521,University Av SE,I-35W NB Ramp,November,12,2003
03-306226,Int-12489,36th St W,Pleasant Av S,November,14,2003
03-310664,Int-16545,3rd Av S,Lake St E,November,19,2003
03-311050,Int-15766,11th Av SE,Como Av SE,November,20,2003
03-312091,Int-17608,5th Av S,Washington Av S,November,21,2003
03-314939,Int-11425,28th St W,Pleasant Av S,November,25,2003
03-319745,Int-10374,Cedar Av S,MN-55 WB Ramp,December,1,2003
03-323650,Int-13721,47th Av N,Bryant Av N,December,5,2003
03-330721,Int-14167,50th St W,James Av S,December,15,2003
03-332873,Int-15529,Basswood Road W,Cedar Shore Drive S,December,17,2003
03-342917,Int-15120,60th St E,Portland Av S,December,31,2003
04-009807,Int-11684,30th Av NE,Polk St NE,January,13,2004
04-013513,Int-16060,Franklin Av E,Portland Av S,January,17,2004
04-034380,Int-16527,22nd Av S,Lake St E,February,14,2004
04-041435,Int-14056,4th St SE,14th Av SE,February,23,2004
04-044621,Int-11198,26th St W,Nicollet Av S,February,27,2004
04-046400,Int-15778,19th Av SE,Como Av SE,February,29,2004
04-050604,Int-15590,West Broadway Av N,Washington Av N,March,5,2004
04-058746,Int-10730,22nd St E,Portland Av S,March,14,2004
04-058874,Int-16049,Cedar Av S,Franklin Av E,March,15,2004
04-060152,Int-16229,Grant St W,Nicollet Av S,March,16,2004
04-061813,Int-16226,14th St E,Park Av S,March,18,2004
04-062776,Int-16546,40th Av S,Lake St E,March,19,2004
04-065242,Int-15308,1st Av N,7th St N,March,22,2004
04-067383,Int-12328,35th St W,Nicollet Av S,March,24,2004
04-068695,Int-16050,Chicago Av S,Franklin Av E,March,26,2004
04-069706,Int-17602,3rd Av S,Washington Av S,March,27,2004
04-070343,Int-11395,28th St W,Blaisdell Av S,March,27,2004
04-071286,Int-11232,2nd St NE,27th Av NE,March,29,2004
04-074034,Int-10422,18th Av NE,Central Av NE,April,1,2004
04-074089,Int-15558,West Broadway Av N,Dupont Av N,April,1,2004
04-074346,Int-11904,32nd St W,West Lake Calhoun Pkwy S,April,1,2004
04-074437,Int-11417,28th St W,Hennepin Av S,April,1,2004
04-075363,Int-14030,4th St S,Hennepin Av S,April,2,2004
04-075624,Int-12416,17th Av S,36th St E,April,2,2004
04-078968,Int-15315,7th St S,Hennepin Av S,April,6,2004
04-081371,Int-11191,26th St W,Harriet Av S,April,9,2004
04-081950,Int-16524,1st Av S,Lake St E,April,9,2004
04-082871,Int-15393,8th Av NE,Marshall St NE,April,10,2004
04-082984,Int-17596,19th Av S,Washington Av S,April,10,2004
04-084272,Int-16581,Bryant Av S,Lake St W,April,12,2004
04-085493,Int-17521,University Av SE,I-35W NB Ramp,April,13,2004
04-085954,Int-10117,12th St S,Harmon Place S,April,14,2004
04-086311,Int-11380,28th St E,Bloomington Av S,April,14,2004
04-088310,Int-10539,DeLaSalle Drive SE,1st Av NE,April,16,2004
04-088812,Int-17583,Hennepin Av S,Washington Av S,April,16,2004
04-090269,Int-11723,11th Av S,31st St E,April,18,2004
04-092197,Int-12461,36th St E,Portland Av S,April,20,2004
04-092378,Int-16229,Grant St W,Nicollet Av S,April,20,2004
04-094170,Int-17578,5th Av N,Washington Av N,April,22,2004
04-097526,Int-16707,Lowry Av N,Washburn Av N,April,26,2004
04-097756,Int-12723,38th St W,Nicollet Av S,April,26,2004
04-097996,Int-11424,28th St W,Pillsbury Av S,April,26,2004
04-098593,Int-16067,Franklin Av E,Stevens Av S,April,27,2004
04-099647,Int-10940,24th St W,Harriet Av S,April,28,2004
04-099876,Int-15562,I-94 EB Ramp,West Broadway Av N,April,28,2004
04-100822,Int-11352,13th Av S,28th St E,April,29,2004
04-100876,Int-15423,8th St S,LaSalle Av S,April,29,2004
04-101095,Int-17317,Spring St NE,Van Buren St NE,April,29,2004
04-102751,Int-11848,23rd Av S,32nd St E,May,1,2004
04-104676,Int-11095,26th Av NE,Central Av NE,May,3,2004
04-105491,Int-17491,17th Av SE,University Av SE,May,4,2004
04-105563,Int-13120,41st St W,Pillsbury Av S,May,4,2004
04-107237,Int-10069,11th St S,LaSalle Av S,May,6,2004
04-107682,Int-11942,33rd Av N,Irving Av N,May,6,2004
04-110572,Int-11275,1st Av S,27th St E,May,9,2004
04-111230,Int-15481,3rd Av S,9th St S,May,10,2004
04-111405,Int-15645,Broadway St NE,University Av NE,May,10,2004
04-116263,Int-10755,22nd St W,Lyndale Av S,May,15,2004
04-117559,Int-16620,Lake St W,Nicollet Av S,May,17,2004
04-117838,Int-11178,26th St E,Portland Av S,May,17,2004
04-118782,Int-11306,27th St W,Blaisdell Av S,May,18,2004
04-119082,Int-11382,28th St E,Chicago Av S,May,18,2004
04-119212,Int-11415,28th St W,Grand Av S,May,18,2004
04-120836,Int-16291,14th Av SE,Hennepin Av E,May,20,2004
04-121232,Int-11307,27th St W,Bryant Av S,May,20,2004
04-121399,Int-12699,38th St E,Portland Av S,May,20,2004
04-121427,Int-11923,32nd St W,Lyndale Av S,May,20,2004
04-121457,Int-16110,Franklin Av W,Nicollet Av S,May,20,2004
04-121954,Int-16837,Minnehaha Pkwy E,22nd Av S,May,21,2004
04-124369,Int-10435,18th Av NE,Monroe St NE,May,24,2004
04-125441,Int-17014,Oak Lake Av N,Olson Memorial Hwy N,May,25,2004
04-125656,Int-12308,35th St E,Park Av S,May,25,2004
04-125822,Int-10708,22nd St E,25th Av S,May,25,2004
04-126085,Int-15268,6th St S,Cedar Av S,May,26,2004
04-126574,Int-16242,Groveland Av W,Nicollet Av S,May,26,2004
04-126795,Int-11613,2nd St SE,7th Av SE,May,26,2004
04-127201,Int-15246,6th St S,Hennepin Av S,May,27,2004
04-127262,Int-11395,28th St W,Blaisdell Av S,May,27,2004
04-127297,Int-12845,3rd Av N,East Lyndale Av N,May,27,2004
04-129568,Int-17615,I-35W NB Ramp,Washington Av S,May,29,2004
04-130405,Int-16622,Lake St W,Pleasant Av S,May,30,2004
04-131185,Int-11052,26th Av N,Colfax Av N,May,31,2004
04-134276,Int-16009,13th Av S,Franklin Av E,June,3,2004
04-135500,Int-11010,25th St E,Chicago Av S,June,4,2004
04-136151,Int-16511,West Lake of the Isles Pkwy S,Penn Av S,June,5,2004
04-137084,Int-12554,37th Av NE,Tyler St NE,June,6,2004
04-137296,Int-10159,14th Av N,Morgan Av N,June,6,2004
04-138095,Int-11192,26th St W,Hennepin Av S,June,7,2004
04-138337,Int-10835,3rd St N,24th Av N,June,7,2004
04-138777,Int-15402,8th St S,Hennepin Av S,June,8,2004
04-139239,Int-11379,5th Av S,28th St E,June,8,2004
04-139631,Int-16477,Humboldt Av S,Lagoon Av W,June,9,2004
04-140466,Int-11599,2nd St S,19th Av S,June,9,2004
04-142172,Int-12169,34th St E,Minnehaha Av S,June,11,2004
04-142958,Int-12684,38th St E,Bloomington Av S,June,12,2004
04-143364,Int-12477,36th St W,Girard Av S,June,12,2004
04-143582,Int-17562,Hennepin Av S,Vineland Place W,June,13,2004
04-144174,Int-14583,54th St E,Portland Av S,June,13,2004
04-145144,Int-11541,29th St W,Aldrich Av S,June,14,2004
04-145157,Int-15192,61st St W,Nicollet Av S,June,14,2004
04-145928,Int-15713,Cedar Lake Road S,Oliver Av S,June,15,2004
04-146247,Int-11360,26th Av S,28th St E,June,15,2004
04-146727,Int-16247,Groveland Terrace W,Hennepin Av S,June,16,2004
04-147005,Int-17231,19th Av S,Riverside Av S,June,16,2004
04-147317,Int-12274,2nd Av S,35th St E,June,16,2004
04-147343,Int-17146,Morgan Av N,Plymouth Av N,June,16,2004
04-147359,Int-11316,27th St W,Hennepin Av S,June,16,2004
04-148432,Int-12309,35th St E,Portland Av S,June,17,2004
04-148497,Int-15632,Broadway St NE,New Brighton Blvd NE,June,17,2004
04-148863,Int-11222,27th Av N,Oliver Av N,June,17,2004
04-149403,Int-15590,West Broadway Av N,Washington Av N,June,18,2004
04-149545,Int-11729,17th Av S,31st St E,June,18,2004
04-150258,Int-17633,Church St SE,Washington Av SE,June,19,2004
04-151083,Int-14037,2nd Av S,4th St S,June,20,2004
04-152388,Int-12529,37th Av NE,Central Av NE,June,21,2004
04-153168,Int-13347,43rd St W,East Lake Harriet Pkwy S,June,22,2004
04-154570,Int-10244,4th Av S,15th St E,June,23,2004
04-154643,Int-15398,8th Av NE,University Av NE,June,23,2004
04-154686,Int-16697,Lowry Av N,Penn Av N,June,23,2004
04-154754,Int-17518,Huron Blvd SE,University Av SE,June,23,2004
04-154886,Int-16039,3rd Av S,Franklin Av E,June,24,2004
04-155058,Int-16173,12th St N,Glenwood Av N,June,24,2004
04-156157,Int-11549,29th St W,Dupont Av S,June,25,2004
04-156641,Int-10323,Hennepin Av S,Maple St S,June,25,2004
04-157318,Int-12239,35th Av NE,Fillmore St NE,June,26,2004
04-159130,Int-16685,Emerson Av N,Lowry Av N,June,28,2004
04-159519,Int-17378,Stinson Blvd NE,Summer St NE,June,28,2004
04-159727,Int-16050,Chicago Av S,Franklin Av E,June,28,2004
04-160287,Int-16203,Golden Valley Road N,Upton Av N,June,29,2004
04-160571,Int-16717,7th St NE,Lowry Av NE,June,29,2004
04-160684,Int-10019,2nd Av S,10th St S,June,29,2004
04-160782,Int-10536,1st Av NE,5th St NE,June,29,2004
04-161434,Int-10551,1st St S,Hennepin Av S,June,30,2004
04-161845,Int-11321,27th St W,Nicollet Av S,June,30,2004
04-162860,Int-11876,32nd St E,Cedar Av S,July,1,2004
04-166328,Int-13659,46th St E,Hiawatha Av S,July,4,2004
04-167828,Int-16572,Lake St E,Park Av S,July,6,2004
